
 Para q = -10.0,el valor DFA es:3.1035211072999487
 Para q = -9.5,el valor DFA es:3.0998345285963302
 Para q = -9.0,el valor DFA es:3.0959106939938223
 Para q = -8.5,el valor DFA es:3.0917375677218
 Para q = -8.0,el valor DFA es:3.087306038108861
 Para q = -7.5,el valor DFA es:3.0826117345996313
 Para q = -7.0,el valor DFA es:3.077657291867141
 Para q = -6.5,el valor DFA es:3.072454923931239
 Para q = -6.0,el valor DFA es:3.067028971039454
 Para q = -5.5,el valor DFA es:3.061417836748426
 Para q = -5.0,el valor DFA es:3.055674531155151
 Para q = -4.5,el valor DFA es:3.049865033890697
 Para q = -4.0,el valor DFA es:3.044064047206325
 Para q = -3.5,el valor DFA es:3.038348450962779
 Para q = -3.0,el valor DFA es:3.032789658799665
 Para q = -2.5,el valor DFA es:3.0274466509256643
 Para q = -2.0,el valor DFA es:3.0223613386947616
 Para q = -1.5,el valor DFA es:3.017557111602918
 Para q = -1.0,el valor DFA es:3.0130403629161275
 Para q = -0.5,el valor DFA es:3.0088040137879943
 Para q = 0.0,el valor DFA es:3.0048318195656694
 Para q = 0.5,el valor DFA es:3.0011024611502144
 Para q = 1.0,el valor DFA es:2.9975928415231876
 Para q = 1.5,el valor DFA es:2.994280397928989
 Para q = 2.0,el valor DFA es:2.9911444986520572
 Para q = 2.5,el valor DFA es:2.9881671150034426
 Para q = 3.0,el valor DFA es:2.9853329847435988
 Para q = 3.5,el valor DFA es:2.9826294579160404
 Para q = 4.0,el valor DFA es:2.9800461723734535
 Para q = 4.5,el valor DFA es:2.9775746620885615
 Para q = 5.0,el valor DFA es:2.975207964283605
 Para q = 5.5,el valor DFA es:2.97294026336038
 Para q = 6.0,el valor DFA es:2.970766589854457
 Para q = 6.5,el valor DFA es:2.968682579602835
 Para q = 7.0,el valor DFA es:2.966684290362316
 Para q = 7.5,el valor DFA es:2.964768068816299
 Para q = 8.0,el valor DFA es:2.9629304591066643
 Para q = 8.5,el valor DFA es:2.961168143833863
 Para q = 9.0,el valor DFA es:2.959477909218695
 Para q = 9.5,el valor DFA es:2.9578566273408278
 Para q = 10.0,el valor DFA es:2.9563012497434364
 El delta Q es: 0.14721985755651223
