
 Para q = -10.0,el valor DFA es:3.159297955449509
 Para q = -9.5,el valor DFA es:3.1547881500259995
 Para q = -9.0,el valor DFA es:3.1497782441496684
 Para q = -8.5,el valor DFA es:3.1441807110504154
 Para q = -8.0,el valor DFA es:3.137886689027055
 Para q = -7.5,el valor DFA es:3.1307592966859934
 Para q = -7.0,el valor DFA es:3.1226244353218524
 Para q = -6.5,el valor DFA es:3.11325804057119
 Para q = -6.0,el valor DFA es:3.1023683707710306
 Para q = -5.5,el valor DFA es:3.0895716071823034
 Para q = -5.0,el valor DFA es:3.074359346873497
 Para q = -4.5,el valor DFA es:3.0560594256673306
 Para q = -4.0,el valor DFA es:3.0338030667035363
 Para q = -3.5,el valor DFA es:3.0065491642243303
 Para q = -3.0,el valor DFA es:2.9733186434900327
 Para q = -2.5,el valor DFA es:2.9339680052351915
 Para q = -2.0,el valor DFA es:2.8906930547571665
 Para q = -1.5,el valor DFA es:2.848803578867438
 Para q = -1.0,el valor DFA es:2.8138206514638306
 Para q = -0.5,el valor DFA es:2.7874028496816643
 Para q = 0.0,el valor DFA es:2.7678433371307025
 Para q = 0.5,el valor DFA es:2.752814391368878
 Para q = 1.0,el valor DFA es:2.7406245043700777
 Para q = 1.5,el valor DFA es:2.7302503494942445
 Para q = 2.0,el valor DFA es:2.721100046852188
 Para q = 2.5,el valor DFA es:2.712829268446474
 Para q = 3.0,el valor DFA es:2.7052337218708207
 Para q = 3.5,el valor DFA es:2.6981894343241177
 Para q = 4.0,el valor DFA es:2.6916189164583786
 Para q = 4.5,el valor DFA es:2.685471384441858
 Para q = 5.0,el valor DFA es:2.679711041076126
 Para q = 5.5,el valor DFA es:2.6743102210935032
 Para q = 6.0,el valor DFA es:2.669245537236956
 Para q = 6.5,el valor DFA es:2.6644958545933037
 Para q = 7.0,el valor DFA es:2.6600413328226304
 Para q = 7.5,el valor DFA es:2.6558630500418317
 Para q = 8.0,el valor DFA es:2.6519429111728843
 Para q = 8.5,el valor DFA es:2.6482636712404912
 Para q = 9.0,el valor DFA es:2.6448089858857515
 Para q = 9.5,el valor DFA es:2.6415634501376832
 Para q = 10.0,el valor DFA es:2.638512613063812
 El delta Q es: 0.5207853423856967
