
 Para q = -10.0,el valor DFA es:2.4608540605159868
 Para q = -9.5,el valor DFA es:2.458223235115452
 Para q = -9.0,el valor DFA es:2.455300641236063
 Para q = -8.5,el valor DFA es:2.4520352232282665
 Para q = -8.0,el valor DFA es:2.4483635171439
 Para q = -7.5,el valor DFA es:2.4442058202643016
 Para q = -7.0,el valor DFA es:2.439460996630408
 Para q = -6.5,el valor DFA es:2.433999452213677
 Para q = -6.0,el valor DFA es:2.427653776268951
 Para q = -5.5,el valor DFA es:2.420206765590665
 Para q = -5.0,el valor DFA es:2.411377567496885
 Para q = -4.5,el valor DFA es:2.400809872872462
 Para q = -4.0,el valor DFA es:2.388074591480795
 Para q = -3.5,el valor DFA es:2.3727187425176686
 Para q = -3.0,el valor DFA es:2.354424731853688
 Para q = -2.5,el valor DFA es:2.3333564965206826
 Para q = -2.0,el valor DFA es:2.3106225024855487
 Para q = -1.5,el valor DFA es:2.2883564967932317
 Para q = -1.0,el valor DFA es:2.2688259133854354
 Para q = -0.5,el valor DFA es:2.2531837170074387
 Para q = 0.0,el valor DFA es:2.241228010556047
 Para q = 0.5,el valor DFA es:2.2320960100062295
 Para q = 1.0,el valor DFA es:2.2249075168464736
 Para q = 1.5,el valor DFA es:2.219007236889351
 Para q = 2.0,el valor DFA es:2.213968430862274
 Para q = 2.5,el valor DFA es:2.209529385066876
 Para q = 3.0,el valor DFA es:2.2055329905411476
 Para q = 3.5,el valor DFA es:2.201884499578116
 Para q = 4.0,el valor DFA es:2.1985251511711
 Para q = 4.5,el valor DFA es:2.1954165559611942
 Para q = 5.0,el valor DFA es:2.1925317265509814
 Para q = 5.5,el valor DFA es:2.1898500411812756
 Para q = 6.0,el valor DFA es:2.187354482102249
 Para q = 6.5,el valor DFA es:2.1850301664087177
 Para q = 7.0,el valor DFA es:2.1828635965352894
 Para q = 7.5,el valor DFA es:2.1808422998217196
 Para q = 8.0,el valor DFA es:2.1789546687718078
 Para q = 8.5,el valor DFA es:2.177189896875003
 Para q = 9.0,el valor DFA es:2.17553795333228
 Para q = 9.5,el valor DFA es:2.1739895679090675
 Para q = 10.0,el valor DFA es:2.1725362128076577
 El delta Q es: 0.288317847708329
