
 Para q = -10.0,el valor DFA es:5.0013706431228515
 Para q = -9.5,el valor DFA es:4.991241048268516
 Para q = -9.0,el valor DFA es:4.9800688560383435
 Para q = -8.5,el valor DFA es:4.967693535698033
 Para q = -8.0,el valor DFA es:4.953921970387573
 Para q = -7.5,el valor DFA es:4.938520416130992
 Para q = -7.0,el valor DFA es:4.921204273761945
 Para q = -6.5,el valor DFA es:4.901625214020252
 Para q = -6.0,el valor DFA es:4.879355465973553
 Para q = -5.5,el valor DFA es:4.853870204589823
 Para q = -5.0,el valor DFA es:4.824532586633423
 Para q = -4.5,el valor DFA es:4.790596388746192
 Para q = -4.0,el valor DFA es:4.751268400468683
 Para q = -3.5,el valor DFA es:4.705932630491486
 Para q = -3.0,el valor DFA es:4.654718932884446
 Para q = -2.5,el valor DFA es:4.599499408308093
 Para q = -2.0,el valor DFA es:4.544584492133131
 Para q = -1.5,el valor DFA es:4.495349034895527
 Para q = -1.0,el valor DFA es:4.455055905816239
 Para q = -0.5,el valor DFA es:4.423614420781726
 Para q = 0.0,el valor DFA es:4.399158605457882
 Para q = 0.5,el valor DFA es:4.3797210799948285
 Para q = 1.0,el valor DFA es:4.363824830511873
 Para q = 1.5,el valor DFA es:4.350471114717594
 Para q = 2.0,el valor DFA es:4.33899477399864
 Para q = 2.5,el valor DFA es:4.328943643565949
 Para q = 3.0,el valor DFA es:4.3200006353923195
 Para q = 3.5,el valor DFA es:4.311936447279802
 Para q = 4.0,el valor DFA es:4.304580817029185
 Para q = 4.5,el valor DFA es:4.297804596650877
 Para q = 5.0,el valor DFA es:4.291508201858585
 Para q = 5.5,el valor DFA es:4.28561391928952
 Para q = 6.0,el valor DFA es:4.280060618563914
 Para q = 6.5,el valor DFA es:4.274800004497174
 Para q = 7.0,el valor DFA es:4.269793878353506
 Para q = 7.5,el valor DFA es:4.2650120733391885
 Para q = 8.0,el valor DFA es:4.260430849735458
 Para q = 8.5,el valor DFA es:4.2560316113728955
 Para q = 9.0,el valor DFA es:4.251799854854649
 Para q = 9.5,el valor DFA es:4.2477242956000945
 Para q = 10.0,el valor DFA es:4.243796135924698
 El delta Q es: 0.7575745071981537
