
 Para q = -10.0,el valor DFA es:3.089768168663193
 Para q = -9.5,el valor DFA es:3.084643479779372
 Para q = -9.0,el valor DFA es:3.0789931029907702
 Para q = -8.5,el valor DFA es:3.0727417913631285
 Para q = -8.0,el valor DFA es:3.065803511172376
 Para q = -7.5,el valor DFA es:3.0580820742809753
 Para q = -7.0,el valor DFA es:3.0494744219409973
 Para q = -6.5,el valor DFA es:3.0398790966763864
 Para q = -6.0,el valor DFA es:3.0292139812666123
 Para q = -5.5,el valor DFA es:3.017448677784208
 Para q = -5.0,el valor DFA es:3.004655431253814
 Para q = -4.5,el valor DFA es:2.9910727306816742
 Para q = -4.0,el valor DFA es:2.977152243847601
 Para q = -3.5,el valor DFA es:2.963533124563417
 Para q = -3.0,el valor DFA es:2.95090198720821
 Para q = -2.5,el valor DFA es:2.939786057410277
 Para q = -2.0,el valor DFA es:2.930412362779783
 Para q = -1.5,el valor DFA es:2.9227181780271834
 Para q = -1.0,el valor DFA es:2.916466445701181
 Para q = -0.5,el valor DFA es:2.911367452973731
 Para q = 0.0,el valor DFA es:2.907153626972449
 Para q = 0.5,el valor DFA es:2.903608022856722
 Para q = 1.0,el valor DFA es:2.9005660676729317
 Para q = 1.5,el valor DFA es:2.897906847311943
 Para q = 2.0,el valor DFA es:2.8955425390904415
 Para q = 2.5,el valor DFA es:2.8934092909249594
 Para q = 3.0,el valor DFA es:2.891460280244752
 Para q = 3.5,el valor DFA es:2.88966072751376
 Para q = 4.0,el valor DFA es:2.8879844064033953
 Para q = 4.5,el valor DFA es:2.8864112236364647
 Para q = 5.0,el valor DFA es:2.884925539472979
 Para q = 5.5,el valor DFA es:2.883514994643706
 Para q = 6.0,el valor DFA es:2.8821696830322154
 Para q = 6.5,el valor DFA es:2.8808815615065853
 Para q = 7.0,el valor DFA es:2.879644023744972
 Para q = 7.5,el valor DFA es:2.8784515885824917
 Para q = 8.0,el valor DFA es:2.8772996691565704
 Para q = 8.5,el valor DFA es:2.8761843996346363
 Para q = 9.0,el valor DFA es:2.875102503372213
 Para q = 9.5,el valor DFA es:2.8740511911489985
 Para q = 10.0,el valor DFA es:2.8730280814292666
 El delta Q es: 0.21674008723392646
