
 Para q = -10.0,el valor DFA es:3.7980466400748956
 Para q = -9.5,el valor DFA es:3.791795502343783
 Para q = -9.0,el valor DFA es:3.7849284027269374
 Para q = -8.5,el valor DFA es:3.7773569929356694
 Para q = -8.0,el valor DFA es:3.7689777279599843
 Para q = -7.5,el valor DFA es:3.759669359244211
 Para q = -7.0,el valor DFA es:3.74929036470377
 Para q = -6.5,el valor DFA es:3.7376767240963007
 Para q = -6.0,el valor DFA es:3.7246409431235707
 Para q = -5.5,el valor DFA es:3.709974228646443
 Para q = -5.0,el valor DFA es:3.6934556539767693
 Para q = -4.5,el valor DFA es:3.674875580809283
 Para q = -4.0,el valor DFA es:3.654085479852904
 Para q = -3.5,el valor DFA es:3.631089286529918
 Para q = -3.0,el valor DFA es:3.606180213941623
 Para q = -2.5,el valor DFA es:3.5800791649170756
 Para q = -2.0,el valor DFA es:3.5539491382439468
 Para q = -1.5,el valor DFA es:3.52914945096821
 Para q = -1.0,el valor DFA es:3.50679434507036
 Para q = -0.5,el valor DFA es:3.4874262686024107
 Para q = 0.0,el valor DFA es:3.47101982580583
 Para q = 0.5,el valor DFA es:3.4572094979382175
 Para q = 1.0,el valor DFA es:3.445522351439942
 Para q = 1.5,el valor DFA es:3.4355141854681217
 Para q = 2.0,el valor DFA es:3.4268197333593498
 Para q = 2.5,el valor DFA es:3.41915692495353
 Para q = 3.0,el valor DFA es:3.4123140713784363
 Para q = 3.5,el valor DFA es:3.4061339024161827
 Para q = 4.0,el valor DFA es:3.400499515622863
 Para q = 4.5,el valor DFA es:3.3953233808255154
 Para q = 5.0,el valor DFA es:3.39053916160962
 Para q = 5.5,el valor DFA es:3.3860957752450176
 Para q = 6.0,el valor DFA es:3.381953130014625
 Para q = 6.5,el valor DFA es:3.3780790876466926
 Para q = 7.0,el valor DFA es:3.3744473094586596
 Para q = 7.5,el valor DFA es:3.371035735098384
 Para q = 8.0,el valor DFA es:3.3678255111367545
 Para q = 8.5,el valor DFA es:3.364800237319281
 Para q = 9.0,el valor DFA es:3.361945435415887
 Para q = 9.5,el valor DFA es:3.359248172815002
 Para q = 10.0,el valor DFA es:3.356696792870091
 El delta Q es: 0.44134984720480475
