
 Para q = -10.0,el valor DFA es:3.297431435539902
 Para q = -9.5,el valor DFA es:3.292199269307198
 Para q = -9.0,el valor DFA es:3.2863951346617455
 Para q = -8.5,el valor DFA es:3.2799214944379043
 Para q = -8.0,el valor DFA es:3.2726577911508503
 Para q = -7.5,el valor DFA es:3.264453474720742
 Para q = -7.0,el valor DFA es:3.255118577426866
 Para q = -6.5,el valor DFA es:3.2444110948031355
 Para q = -6.0,el valor DFA es:3.2320206884425833
 Para q = -5.5,el valor DFA es:3.217549722609147
 Para q = -5.0,el valor DFA es:3.2004979293132085
 Para q = -4.5,el valor DFA es:3.1802727037813336
 Para q = -4.0,el valor DFA es:3.1562872150177905
 Para q = -3.5,el valor DFA es:3.128285347913639
 Para q = -3.0,el valor DFA es:3.0970650123433
 Para q = -2.5,el valor DFA es:3.065337251898155
 Para q = -2.0,el valor DFA es:3.037271134511441
 Para q = -1.5,el valor DFA es:3.015853314634546
 Para q = -1.0,el valor DFA es:3.0010885039204305
 Para q = -0.5,el valor DFA es:2.991193973770857
 Para q = 0.0,el valor DFA es:2.9843400227896257
 Para q = 0.5,el valor DFA es:2.979270975311515
 Para q = 1.0,el valor DFA es:2.975244002585389
 Para q = 1.5,el valor DFA es:2.971840034296871
 Para q = 2.0,el valor DFA es:2.9688224409343054
 Para q = 2.5,el valor DFA es:2.966054194498215
 Para q = 3.0,el valor DFA es:2.9634530161962
 Para q = 3.5,el valor DFA es:2.9609676005991776
 Para q = 4.0,el valor DFA es:2.9585649364056543
 Para q = 4.5,el valor DFA es:2.9562233963203357
 Para q = 5.0,el valor DFA es:2.953928842312066
 Para q = 5.5,el valor DFA es:2.9516723281203268
 Para q = 6.0,el valor DFA es:2.949448661469429
 Para q = 6.5,el valor DFA es:2.9472554367977035
 Para q = 7.0,el valor DFA es:2.9450923309205614
 Para q = 7.5,el valor DFA es:2.942960551290446
 Para q = 8.0,el valor DFA es:2.9408623799708926
 Para q = 8.5,el valor DFA es:2.938800786146988
 Para q = 9.0,el valor DFA es:2.9367790960597433
 Para q = 9.5,el valor DFA es:2.9348007170693826
 Para q = 10.0,el valor DFA es:2.932868915303177
 El delta Q es: 0.3645625202367251
