
 Para q = -10.0,el valor DFA es:3.1929982335789284
 Para q = -9.5,el valor DFA es:3.188487413235792
 Para q = -9.0,el valor DFA es:3.1834757469816495
 Para q = -8.5,el valor DFA es:3.177875150147257
 Para q = -8.0,el valor DFA es:3.1715757753066063
 Para q = -7.5,el valor DFA es:3.1644389888314333
 Para q = -7.0,el valor DFA es:3.1562875553195355
 Para q = -6.5,el valor DFA es:3.146891750190948
 Para q = -6.0,el valor DFA es:3.1359495259590546
 Para q = -5.5,el valor DFA es:3.123058120470032
 Para q = -5.0,el valor DFA es:3.107674001238066
 Para q = -4.5,el valor DFA es:3.0890595314139153
 Para q = -4.0,el valor DFA es:3.066224750592156
 Para q = -3.5,el valor DFA es:3.0379130307036966
 Para q = -3.0,el valor DFA es:3.0028099674300033
 Para q = -2.5,el valor DFA es:2.9604497883689573
 Para q = -2.0,el valor DFA es:2.91332436359712
 Para q = -1.5,el valor DFA es:2.8683287634031864
 Para q = -1.0,el valor DFA es:2.832569306209044
 Para q = -0.5,el valor DFA es:2.8074140855650165
 Para q = 0.0,el valor DFA es:2.7900029018563086
 Para q = 0.5,el valor DFA es:2.777312038682135
 Para q = 1.0,el valor DFA es:2.7674349910667653
 Para q = 1.5,el valor DFA es:2.759328004809514
 Para q = 2.0,el valor DFA es:2.7524205487167483
 Para q = 2.5,el valor DFA es:2.7463826219105147
 Para q = 3.0,el valor DFA es:2.7410092525186323
 Para q = 3.5,el valor DFA es:2.736164678255203
 Para q = 4.0,el valor DFA es:2.731754243355366
 Para q = 4.5,el valor DFA es:2.7277092302306363
 Para q = 5.0,el valor DFA es:2.723978058451493
 Para q = 5.5,el valor DFA es:2.720520861035041
 Para q = 6.0,el valor DFA es:2.717305991435231
 Para q = 6.5,el valor DFA es:2.7143077051480384
 Para q = 7.0,el valor DFA es:2.711504589183474
 Para q = 7.5,el valor DFA es:2.708878482312897
 Para q = 8.0,el valor DFA es:2.7064137234275285
 Para q = 8.5,el valor DFA es:2.704096621616444
 Para q = 9.0,el valor DFA es:2.7019150769679015
 Para q = 9.5,el valor DFA es:2.6998583042298248
 Para q = 10.0,el valor DFA es:2.697916626946428
 El delta Q es: 0.49508160663250056
