
 Para q = -10.0,el valor DFA es:3.457384041863886
 Para q = -9.5,el valor DFA es:3.4512822490774515
 Para q = -9.0,el valor DFA es:3.4445172438039005
 Para q = -8.5,el valor DFA es:3.436976430471563
 Para q = -8.0,el valor DFA es:3.4285205567157133
 Para q = -7.5,el valor DFA es:3.418975527040374
 Para q = -7.0,el valor DFA es:3.4081212699404775
 Para q = -6.5,el valor DFA es:3.3956767376285826
 Para q = -6.0,el valor DFA es:3.3812804275723645
 Para q = -5.5,el valor DFA es:3.3644677225213155
 Para q = -5.0,el valor DFA es:3.3446532996463287
 Para q = -4.5,el valor DFA es:3.321148175143354
 Para q = -4.0,el valor DFA es:3.2932969713859066
 Para q = -3.5,el valor DFA es:3.260928167527743
 Para q = -3.0,el valor DFA es:3.225329861774293
 Para q = -2.5,el valor DFA es:3.1902253876039905
 Para q = -2.0,el valor DFA es:3.160604698875489
 Para q = -1.5,el valor DFA es:3.139108242315167
 Para q = -1.0,el valor DFA es:3.124761423368904
 Para q = -0.5,el valor DFA es:3.1151829577680408
 Para q = 0.0,el valor DFA es:3.108412410732357
 Para q = 0.5,el valor DFA es:3.1032520615011197
 Para q = 1.0,el valor DFA es:3.099044826354766
 Para q = 1.5,el valor DFA es:3.095438740139802
 Para q = 2.0,el valor DFA es:3.0922415846736344
 Para q = 2.5,el valor DFA es:3.089343599185205
 Para q = 3.0,el valor DFA es:3.0866782892614193
 Para q = 3.5,el valor DFA es:3.0842026656840678
 Para q = 4.0,el valor DFA es:3.0818871178949148
 Para q = 4.5,el valor DFA es:3.079710067663918
 Para q = 5.0,el valor DFA es:3.077655034169504
 Para q = 5.5,el valor DFA es:3.075708949169227
 Para q = 6.0,el valor DFA es:3.0738611431516056
 Para q = 6.5,el valor DFA es:3.0721027061391126
 Para q = 7.0,el valor DFA es:3.0704260665202168
 Para q = 7.5,el valor DFA es:3.0688247020319417
 Para q = 8.0,el valor DFA es:3.067292933953955
 Para q = 8.5,el valor DFA es:3.0658257755541882
 Para q = 9.0,el valor DFA es:3.06441881704384
 Para q = 9.5,el valor DFA es:3.0630681358364966
 Para q = 10.0,el valor DFA es:3.061770224847998
 El delta Q es: 0.3956138170158878
