
 Para q = -10.0,el valor DFA es:2.6044155805222924
 Para q = -9.5,el valor DFA es:2.6018099040238036
 Para q = -9.0,el valor DFA es:2.5989223323573114
 Para q = -8.5,el valor DFA es:2.5957057025661308
 Para q = -8.0,el valor DFA es:2.5921019276774917
 Para q = -7.5,el valor DFA es:2.588038640260701
 Para q = -7.0,el valor DFA es:2.5834244891037166
 Para q = -6.5,el valor DFA es:2.578142396352167
 Para q = -6.0,el valor DFA es:2.57203964308949
 Para q = -5.5,el valor DFA es:2.564912887807748
 Para q = -5.0,el valor DFA es:2.5564848813552303
 Para q = -4.5,el valor DFA es:2.5463673109202865
 Para q = -4.0,el valor DFA es:2.5340003985571786
 Para q = -3.5,el valor DFA es:2.5185549933323403
 Para q = -3.0,el valor DFA es:2.4987833653211173
 Para q = -2.5,el valor DFA es:2.472845784213766
 Para q = -2.0,el valor DFA es:2.438361274312408
 Para q = -1.5,el valor DFA es:2.3936533843872616
 Para q = -1.0,el valor DFA es:2.3417031410942895
 Para q = -0.5,el valor DFA es:2.292980005308184
 Para q = 0.0,el valor DFA es:2.2570068681201008
 Para q = 0.5,el valor DFA es:2.233941773442734
 Para q = 1.0,el valor DFA es:2.219385742376728
 Para q = 1.5,el valor DFA es:2.2096791595428824
 Para q = 2.0,el valor DFA es:2.2027172912717323
 Para q = 2.5,el valor DFA es:2.1973934045570185
 Para q = 3.0,el valor DFA es:2.1931201261419146
 Para q = 3.5,el valor DFA es:2.1895699974028893
 Para q = 4.0,el valor DFA es:2.1865483473648983
 Para q = 4.5,el valor DFA es:2.183931490144575
 Para q = 5.0,el valor DFA es:2.1816358515090095
 Para q = 5.5,el valor DFA es:2.179601882830215
 Para q = 6.0,el valor DFA es:2.1777852658673877
 Para q = 6.5,el valor DFA es:2.1761518576596806
 Para q = 7.0,el valor DFA es:2.174674637918531
 Para q = 7.5,el valor DFA es:2.1733317758144266
 Para q = 8.0,el valor DFA es:2.172105349536838
 Para q = 8.5,el valor DFA es:2.1709804625234015
 Para q = 9.0,el valor DFA es:2.1699446105751545
 Para q = 9.5,el valor DFA es:2.1689872139040487
 Para q = 10.0,el valor DFA es:2.168099261663361
 El delta Q es: 0.4363163188589314
