
 Para q = -10.0,el valor DFA es:3.065662350124133
 Para q = -9.5,el valor DFA es:3.061945093936704
 Para q = -9.0,el valor DFA es:3.057863134230961
 Para q = -8.5,el valor DFA es:3.0533607420470865
 Para q = -8.0,el valor DFA es:3.04837060896708
 Para q = -7.5,el valor DFA es:3.042810830809623
 Para q = -7.0,el valor DFA es:3.0365809914943775
 Para q = -6.5,el valor DFA es:3.0295571081334893
 Para q = -6.0,el valor DFA es:3.021585237457832
 Para q = -5.5,el valor DFA es:3.0124737947190448
 Para q = -5.0,el valor DFA es:3.001985455501691
 Para q = -4.5,el valor DFA es:2.989831710818793
 Para q = -4.0,el valor DFA es:2.9756783496436965
 Para q = -3.5,el valor DFA es:2.9591807211926273
 Para q = -3.0,el valor DFA es:2.9400835995644687
 Para q = -2.5,el valor DFA es:2.9184262823259886
 Para q = -2.0,el valor DFA es:2.8948334603819
 Para q = -1.5,el valor DFA es:2.8706835188640993
 Para q = -1.0,el valor DFA es:2.8477989846917686
 Para q = -0.5,el valor DFA es:2.827673190352412
 Para q = 0.0,el valor DFA es:2.81089393673403
 Para q = 0.5,el valor DFA es:2.7972253782172984
 Para q = 1.0,el valor DFA es:2.7860448132907707
 Para q = 1.5,el valor DFA es:2.776693029068136
 Para q = 2.0,el valor DFA es:2.7686243508955877
 Para q = 2.5,el valor DFA es:2.7614316812711457
 Para q = 3.0,el valor DFA es:2.754825664271561
 Para q = 3.5,el valor DFA es:2.7486067948816246
 Para q = 4.0,el valor DFA es:2.7426427361417787
 Para q = 4.5,el valor DFA es:2.736852073947687
 Para q = 5.0,el valor DFA es:2.731192511246195
 Para q = 5.5,el valor DFA es:2.7256513163929155
 Para q = 6.0,el valor DFA es:2.7202366654109427
 Para q = 6.5,el valor DFA es:2.714969505080048
 Para q = 7.0,el valor DFA es:2.7098762753418377
 Para q = 7.5,el valor DFA es:2.704983070768318
 Para q = 8.0,el valor DFA es:2.7003116430396847
 Para q = 8.5,el valor DFA es:2.6958772713904535
 Para q = 9.0,el valor DFA es:2.6916881909835735
 Para q = 9.5,el valor DFA es:2.6877460976595655
 Para q = 10.0,el valor DFA es:2.684047244824935
 El delta Q es: 0.38161510529919784
