
 Para q = -10.0,el valor DFA es:2.571691242496363
 Para q = -9.5,el valor DFA es:2.5693388965782136
 Para q = -9.0,el valor DFA es:2.5667531853468537
 Para q = -8.5,el valor DFA es:2.563897068179888
 Para q = -8.0,el valor DFA es:2.560724991775375
 Para q = -7.5,el valor DFA es:2.5571802501240417
 Para q = -7.0,el valor DFA es:2.5531912953034173
 Para q = -6.5,el valor DFA es:2.548666488338811
 Para q = -6.0,el valor DFA es:2.54348649140554
 Para q = -5.5,el valor DFA es:2.537493042274663
 Para q = -5.0,el valor DFA es:2.5304721310647618
 Para q = -4.5,el valor DFA es:2.5221285425399107
 Para q = -4.0,el valor DFA es:2.5120474666773696
 Para q = -3.5,el valor DFA es:2.499638542953186
 Para q = -3.0,el valor DFA es:2.484063199975961
 Para q = -2.5,el valor DFA es:2.464174696725918
 Para q = -2.0,el valor DFA es:2.438599067578181
 Para q = -1.5,el valor DFA es:2.4063142300337605
 Para q = -1.0,el valor DFA es:2.3681777665096626
 Para q = -0.5,el valor DFA es:2.3284708842486785
 Para q = 0.0,el valor DFA es:2.2931405585067908
 Para q = 0.5,el valor DFA es:2.2654040794385044
 Para q = 1.0,el valor DFA es:2.244805338521972
 Para q = 1.5,el valor DFA es:2.2294785165813633
 Para q = 2.0,el valor DFA es:2.217744291142212
 Para q = 2.5,el valor DFA es:2.2084549990318276
 Para q = 3.0,el valor DFA es:2.200881698603689
 Para q = 3.5,el valor DFA es:2.194559421227142
 Para q = 4.0,el valor DFA es:2.1891812678832974
 Para q = 4.5,el valor DFA es:2.184536199211709
 Para q = 5.0,el valor DFA es:2.180473559900663
 Para q = 5.5,el valor DFA es:2.1768824350619993
 Para q = 6.0,el valor DFA es:2.173679133295174
 Para q = 6.5,el valor DFA es:2.1707992395691726
 Para q = 7.0,el valor DFA es:2.168192350965127
 Para q = 7.5,el valor DFA es:2.1658184637771325
 Para q = 8.0,el valor DFA es:2.163645422731965
 Para q = 8.5,el valor DFA es:2.1616470793445077
 Para q = 9.0,el valor DFA es:2.1598019383374814
 Para q = 9.5,el valor DFA es:2.1580921482475697
 Para q = 10.0,el valor DFA es:2.156502739547217
 El delta Q es: 0.415188502949146
