
 Para q = -10.0,el valor DFA es:3.0151515664697213
 Para q = -9.5,el valor DFA es:3.010393402461547
 Para q = -9.0,el valor DFA es:3.0052176480293737
 Para q = -8.5,el valor DFA es:2.9995883391233487
 Para q = -8.0,el valor DFA es:2.9934747410312927
 Para q = -7.5,el valor DFA es:2.98685775375711
 Para q = -7.0,el valor DFA es:2.97973924861502
 Para q = -6.5,el valor DFA es:2.9721542230403197
 Para q = -6.0,el valor DFA es:2.9641840237112587
 Para q = -5.5,el valor DFA es:2.9559661718861308
 Para q = -5.0,el valor DFA es:2.947693609593562
 Para q = -4.5,el valor DFA es:2.9395964512945674
 Para q = -4.0,el valor DFA es:2.931905827497305
 Para q = -3.5,el valor DFA es:2.924810681557128
 Para q = -3.0,el valor DFA es:2.9184255956419105
 Para q = -2.5,el valor DFA es:2.9127825647145182
 Para q = -2.0,el valor DFA es:2.9078456658593557
 Para q = -1.5,el valor DFA es:2.9035370132451184
 Para q = -1.0,el valor DFA es:2.899761817289544
 Para q = -0.5,el valor DFA es:2.8964260944709306
 Para q = 0.0,el valor DFA es:2.8934462538379364
 Para q = 0.5,el valor DFA es:2.8907526136057564
 Para q = 1.0,el valor DFA es:2.8882893521796733
 Para q = 1.5,el valor DFA es:2.8860128010728614
 Para q = 2.0,el valor DFA es:2.8838892330997905
 Para q = 2.5,el valor DFA es:2.8818927280179545
 Para q = 3.0,el valor DFA es:2.880003350083965
 Para q = 3.5,el valor DFA es:2.878205689909165
 Para q = 4.0,el valor DFA es:2.8764877412926486
 Para q = 4.5,el valor DFA es:2.8748400555069002
 Para q = 5.0,el valor DFA es:2.87325511269312
 Para q = 5.5,el valor DFA es:2.8717268574734924
 Para q = 6.0,el valor DFA es:2.8702503561954624
 Para q = 6.5,el valor DFA es:2.8688215431337323
 Para q = 7.0,el valor DFA es:2.867437031315642
 Para q = 7.5,el valor DFA es:2.8660939701915797
 Para q = 8.0,el valor DFA es:2.86478993732233
 Para q = 8.5,el valor DFA es:2.8635228548982625
 Para q = 9.0,el valor DFA es:2.8622909245402774
 Para q = 9.5,el valor DFA es:2.8610925757158876
 Para q = 10.0,el valor DFA es:2.8599264244389486
 El delta Q es: 0.15522514203077264
