
 Para q = -10.0,el valor DFA es:2.614808648639916
 Para q = -9.5,el valor DFA es:2.6123001433261073
 Para q = -9.0,el valor DFA es:2.6095327394798313
 Para q = -8.5,el valor DFA es:2.6064646052122007
 Para q = -8.0,el valor DFA es:2.6030441313722834
 Para q = -7.5,el valor DFA es:2.5992067641592578
 Para q = -7.0,el valor DFA es:2.5948704841476538
 Para q = -6.5,el valor DFA es:2.5899292068849884
 Para q = -6.0,el valor DFA es:2.5842429148899475
 Para q = -5.5,el valor DFA es:2.5776225235725776
 Para q = -5.0,el valor DFA es:2.5698060684086514
 Para q = -4.5,el valor DFA es:2.560420339455351
 Para q = -4.0,el valor DFA es:2.5489180330957373
 Para q = -3.5,el valor DFA es:2.5344750377988943
 Para q = -3.0,el valor DFA es:2.515831366691051
 Para q = -2.5,el valor DFA es:2.491095432034571
 Para q = -2.0,el valor DFA es:2.457741951294036
 Para q = -1.5,el valor DFA es:2.4137640247983865
 Para q = -1.0,el valor DFA es:2.3616734387889218
 Para q = -0.5,el valor DFA es:2.311937310238974
 Para q = 0.0,el valor DFA es:2.274754452057375
 Para q = 0.5,el valor DFA es:2.250649041371867
 Para q = 1.0,el valor DFA es:2.2351444746118965
 Para q = 1.5,el valor DFA es:2.2244817906111125
 Para q = 2.0,el valor DFA es:2.2165378128932582
 Para q = 2.5,el valor DFA es:2.210228328734301
 Para q = 3.0,el valor DFA es:2.204994979941915
 Para q = 3.5,el valor DFA es:2.2005321743711717
 Para q = 4.0,el valor DFA es:2.1966576289285604
 Para q = 4.5,el valor DFA es:2.1932523799193424
 Para q = 5.0,el valor DFA es:2.190232508079777
 Para q = 5.5,el valor DFA es:2.1875352340428527
 Para q = 6.0,el valor DFA es:2.1851116371784527
 Para q = 6.5,el valor DFA es:2.1829225361476783
 Para q = 7.0,el valor DFA es:2.1809359590845947
 Para q = 7.5,el valor DFA es:2.1791254683443153
 Para q = 8.0,el valor DFA es:2.1774689811848282
 Para q = 8.5,el valor DFA es:2.1759479012128695
 Para q = 9.0,el valor DFA es:2.1745464581877667
 Para q = 9.5,el valor DFA es:2.173251195170877
 Para q = 10.0,el valor DFA es:2.1720505639892655
 El delta Q es: 0.4427580846506505
