
 Para q = -10.0,el valor DFA es:2.348017230782288
 Para q = -9.8,el valor DFA es:2.3470007895289307
 Para q = -9.600000000000001,el valor DFA es:2.3459426790994558
 Para q = -9.400000000000002,el valor DFA es:2.344840372632638
 Para q = -9.200000000000003,el valor DFA es:2.3436911499977495
 Para q = -9.000000000000004,el valor DFA es:2.3424920817146897
 Para q = -8.800000000000004,el valor DFA es:2.3412400118055006
 Para q = -8.600000000000005,el valor DFA es:2.3399315396406246
 Para q = -8.400000000000006,el valor DFA es:2.3385630009049336
 Para q = -8.200000000000006,el valor DFA es:2.337130447893389
 Para q = -8.000000000000007,el valor DFA es:2.335629629461371
 Para q = -7.800000000000008,el valor DFA es:2.334055971109337
 Para q = -7.6000000000000085,el valor DFA es:2.3324045558869972
 Para q = -7.400000000000009,el valor DFA es:2.330670107072591
 Para q = -7.20000000000001,el valor DFA es:2.328846973935265
 Para q = -7.000000000000011,el valor DFA es:2.3269291223428206
 Para q = -6.800000000000011,el valor DFA es:2.324910132555731
 Para q = -6.600000000000012,el valor DFA es:2.322783207274881
 Para q = -6.400000000000013,el valor DFA es:2.3205411939068328
 Para q = -6.2000000000000135,el valor DFA es:2.318176626091351
 Para q = -6.000000000000014,el valor DFA es:2.3156817908004106
 Para q = -5.800000000000015,el valor DFA es:2.3130488287343165
 Para q = -5.600000000000016,el valor DFA es:2.310269877225179
 Para q = -5.400000000000016,el valor DFA es:2.3073372662437905
 Para q = -5.200000000000017,el valor DFA es:2.3042437791015264
 Para q = -5.000000000000018,el valor DFA es:2.3009829895803344
 Para q = -4.8000000000000185,el valor DFA es:2.2975496858281454
 Para q = -4.600000000000019,el valor DFA es:2.293940387499446
 Para q = -4.40000000000002,el valor DFA es:2.290153955175255
 Para q = -4.200000000000021,el valor DFA es:2.286192278901175
 Para q = -4.000000000000021,el valor DFA es:2.2820610149045204
 Para q = -3.800000000000022,el valor DFA es:2.277770316319336
 Para q = -3.6000000000000227,el valor DFA es:2.2733354770193537
 Para q = -3.4000000000000234,el valor DFA es:2.2687773821245827
 Para q = -3.200000000000024,el valor DFA es:2.264122642263076
 Para q = -3.000000000000025,el valor DFA es:2.259403291443178
 Para q = -2.8000000000000256,el valor DFA es:2.254655960187116
 Para q = -2.6000000000000263,el valor DFA es:2.249920500926121
 Para q = -2.400000000000027,el valor DFA es:2.245238135583487
 Para q = -2.2000000000000277,el valor DFA es:2.240649296663221
 Para q = -2.0000000000000284,el valor DFA es:2.2361914141375454
 Para q = -1.8000000000000291,el valor DFA es:2.231896932467431
 Para q = -1.6000000000000298,el valor DFA es:2.2277918100253986
 Para q = -1.4000000000000306,el valor DFA es:2.2238946637250745
 Para q = -1.2000000000000313,el valor DFA es:2.2202166016124796
 Para q = -1.000000000000032,el valor DFA es:2.21676167082806
 Para q = -0.8000000000000327,el valor DFA es:2.213527766742756
 Para q = -0.6000000000000334,el valor DFA es:2.2105078142867125
 Para q = -0.4000000000000341,el valor DFA es:2.207691040813026
 Para q = -0.20000000000003482,el valor DFA es:2.205064196858667
 Para q = -3.552713678800501e-14,el valor DFA es:2.2023641483565806
 Para q = 0.19999999999996376,el valor DFA es:2.2003211627390247
 Para q = 0.39999999999996305,el valor DFA es:2.198174766003788
 Para q = 0.5999999999999623,el valor DFA es:2.1961590373783872
 Para q = 0.7999999999999616,el valor DFA es:2.1942605158248942
 Para q = 0.9999999999999609,el valor DFA es:2.1924668624715538
 Para q = 1.1999999999999602,el valor DFA es:2.190766940157119
 Para q = 1.3999999999999595,el valor DFA es:2.1891508197984026
 Para q = 1.5999999999999588,el valor DFA es:2.1876097369091023
 Para q = 1.799999999999958,el valor DFA es:2.186136016578401
 Para q = 1.9999999999999574,el valor DFA es:2.184722980660959
 Para q = 2.1999999999999567,el valor DFA es:2.1833648470981983
 Para q = 2.399999999999956,el valor DFA es:2.1820566282352116
 Para q = 2.5999999999999552,el valor DFA es:2.18079403265698
 Para q = 2.7999999999999545,el valor DFA es:2.1795733733331843
 Para q = 2.999999999999954,el valor DFA es:2.1783914836135954
 Para q = 3.199999999999953,el valor DFA es:2.177245641745299
 Para q = 3.3999999999999524,el valor DFA es:2.1761335039951177
 Para q = 3.5999999999999517,el valor DFA es:2.175053046079879
 Para q = 3.799999999999951,el valor DFA es:2.1740025123752447
 Para q = 3.9999999999999503,el valor DFA es:2.172980372246342
 Para q = 4.1999999999999496,el valor DFA es:2.1719852827878983
 Para q = 4.399999999999949,el valor DFA es:2.1710160572541133
 Para q = 4.599999999999948,el valor DFA es:2.1700716384821703
 Para q = 4.799999999999947,el valor DFA es:2.1691510766559636
 Para q = 4.999999999999947,el valor DFA es:2.168253510809976
 Para q = 5.199999999999946,el valor DFA es:2.1673781535313634
 Para q = 5.399999999999945,el valor DFA es:2.1665242783774263
 Para q = 5.599999999999945,el valor DFA es:2.1656912095831284
 Para q = 5.799999999999944,el valor DFA es:2.1648783136875442
 Para q = 5.999999999999943,el valor DFA es:2.1640849927582595
 Para q = 6.1999999999999424,el valor DFA es:2.1633106789382017
 Para q = 6.399999999999942,el valor DFA es:2.1625548300801247
 Para q = 6.599999999999941,el valor DFA es:2.161816926270033
 Para q = 6.79999999999994,el valor DFA es:2.1610964670724364
 Para q = 6.99999999999994,el valor DFA es:2.160392969357783
 Para q = 7.199999999999939,el valor DFA es:2.1597059655960944
 Para q = 7.399999999999938,el valor DFA es:2.1590350025210863
 Para q = 7.5999999999999375,el valor DFA es:2.158379640086251
 Para q = 7.799999999999937,el valor DFA es:2.1577394506489314
 Para q = 7.999999999999936,el valor DFA es:2.1571140183305864
 Para q = 8.199999999999935,el valor DFA es:2.156502938511636
 Para q = 8.399999999999935,el valor DFA es:2.1559058174276737
 Para q = 8.599999999999934,el valor DFA es:2.1553222718407956
 Para q = 8.799999999999933,el valor DFA es:2.1547519287654713
 Para q = 8.999999999999932,el valor DFA es:2.1541944252329968
 Para q = 9.199999999999932,el valor DFA es:2.1536494080823236
 Para q = 9.399999999999931,el valor DFA es:2.1531165337680367
 Para q = 9.59999999999993,el valor DFA es:2.1525954681786583
 Para q = 9.79999999999993,el valor DFA es:2.152085886460334
 Para q = 9.999999999999929,el valor DFA es:2.151587472842434
 El delta Q es: 0.19642975793985418
