
 Para q = -10.0,el valor DFA es:4.053122616506114
 Para q = -9.8,el valor DFA es:4.050605647479182
 Para q = -9.600000000000001,el valor DFA es:4.047987838947258
 Para q = -9.400000000000002,el valor DFA es:4.0452628609658285
 Para q = -9.200000000000003,el valor DFA es:4.0424238353471065
 Para q = -9.000000000000004,el valor DFA es:4.039463274994615
 Para q = -8.800000000000004,el valor DFA es:4.036373015073969
 Para q = -8.600000000000005,el valor DFA es:4.033144134731945
 Para q = -8.400000000000006,el valor DFA es:4.02976686784574
 Para q = -8.200000000000006,el valor DFA es:4.0262305010094055
 Para q = -8.000000000000007,el valor DFA es:4.022523256635894
 Para q = -7.800000000000008,el valor DFA es:4.018632158660474
 Para q = -7.6000000000000085,el valor DFA es:4.014542877862511
 Para q = -7.400000000000009,el valor DFA es:4.010239553264099
 Para q = -7.20000000000001,el valor DFA es:4.005704585401287
 Para q = -7.000000000000011,el valor DFA es:4.000918396482226
 Para q = -6.800000000000011,el valor DFA es:3.995859151534303
 Para q = -6.600000000000012,el valor DFA es:3.9905024335941253
 Para q = -6.400000000000013,el valor DFA es:3.9848208648194126
 Para q = -6.2000000000000135,el valor DFA es:3.978783664139119
 Para q = -6.000000000000014,el valor DFA es:3.9723561307999455
 Para q = -5.800000000000015,el valor DFA es:3.9654990421042213
 Para q = -5.600000000000016,el valor DFA es:3.958167953129036
 Para q = -5.400000000000016,el valor DFA es:3.950312386935581
 Para q = -5.200000000000017,el valor DFA es:3.941874906910998
 Para q = -5.000000000000018,el valor DFA es:3.9327900705245185
 Para q = -4.8000000000000185,el valor DFA es:3.922983279552615
 Para q = -4.600000000000019,el valor DFA es:3.912369571946391
 Para q = -4.40000000000002,el valor DFA es:3.9008524554597166
 Para q = -4.200000000000021,el valor DFA es:3.8883229802435526
 Para q = -4.000000000000021,el valor DFA es:3.87465941450148
 Para q = -3.800000000000022,el valor DFA es:3.8597281656812847
 Para q = -3.6000000000000227,el valor DFA es:3.8433870356237883
 Para q = -3.4000000000000234,el valor DFA es:3.8254925683902137
 Para q = -3.200000000000024,el valor DFA es:3.8059141467521345
 Para q = -3.000000000000025,el valor DFA es:3.7845584134322032
 Para q = -2.8000000000000256,el valor DFA es:3.761407793951426
 Para q = -2.6000000000000263,el valor DFA es:3.7365745936338692
 Para q = -2.400000000000027,el valor DFA es:3.710364333360647
 Para q = -2.2000000000000277,el valor DFA es:3.683326414807408
 Para q = -2.0000000000000284,el valor DFA es:3.6562519393422477
 Para q = -1.8000000000000291,el valor DFA es:3.6300778705156107
 Para q = -1.6000000000000298,el valor DFA es:3.6056990862888845
 Para q = -1.4000000000000306,el valor DFA es:3.58376266711083
 Para q = -1.2000000000000313,el valor DFA es:3.56455107762294
 Para q = -1.000000000000032,el valor DFA es:3.5480033470742756
 Para q = -0.8000000000000327,el valor DFA es:3.53383162528914
 Para q = -0.6000000000000334,el valor DFA es:3.521653574487884
 Para q = -0.4000000000000341,el valor DFA es:3.5110883851386556
 Para q = -0.20000000000003482,el valor DFA es:3.5018059614787362
 Para q = -3.552713678800501e-14,el valor DFA es:3.4970326668205742
 Para q = 0.19999999999996376,el valor DFA es:3.48609218401325
 Para q = 0.39999999999996305,el valor DFA es:3.479305136247972
 Para q = 0.5999999999999623,el valor DFA es:3.473066596908565
 Para q = 0.7999999999999616,el valor DFA es:3.467291095323767
 Para q = 0.9999999999999609,el valor DFA es:3.4619135704175017
 Para q = 1.1999999999999602,el valor DFA es:3.456883518046982
 Para q = 1.3999999999999595,el valor DFA es:3.452160846384417
 Para q = 1.5999999999999588,el valor DFA es:3.4477129953438252
 Para q = 1.799999999999958,el valor DFA es:3.443512949885422
 Para q = 1.9999999999999574,el valor DFA es:3.439537868192919
 Para q = 2.1999999999999567,el valor DFA es:3.4357681261436626
 Para q = 2.399999999999956,el valor DFA es:3.4321866416836815
 Para q = 2.5999999999999552,el valor DFA es:3.4287783875215636
 Para q = 2.7999999999999545,el valor DFA es:3.4255300314474124
 Para q = 2.999999999999954,el valor DFA es:3.4224296642833036
 Para q = 3.199999999999953,el valor DFA es:3.4194665890867273
 Para q = 3.3999999999999524,el valor DFA es:3.4166311540865526
 Para q = 3.5999999999999517,el valor DFA es:3.4139146175694797
 Para q = 3.799999999999951,el valor DFA es:3.4113090366593366
 Para q = 3.9999999999999503,el valor DFA es:3.408807174367251
 Para q = 4.1999999999999496,el valor DFA es:3.406402420904135
 Para q = 4.399999999999949,el valor DFA es:3.4040887263341886
 Para q = 4.599999999999948,el valor DFA es:3.401860542395663
 Para q = 4.799999999999947,el valor DFA es:3.3997127718402744
 Para q = 4.999999999999947,el valor DFA es:3.3976407240194404
 Para q = 5.199999999999946,el valor DFA es:3.395640075721171
