
 Para q = -10.0,el valor DFA es:2.9907891700650007
 Para q = -9.5,el valor DFA es:2.9874880438952127
 Para q = -9.0,el valor DFA es:2.9839939224019076
 Para q = -8.5,el valor DFA es:2.980304442827082
 Para q = -8.0,el valor DFA es:2.976421339059661
 Para q = -7.5,el valor DFA es:2.972351539677702
 Para q = -7.0,el valor DFA es:2.9681081772874993
 Para q = -6.5,el valor DFA es:2.9637113158853214
 Para q = -6.0,el valor DFA es:2.9591881672432523
 Para q = -5.5,el valor DFA es:2.954572582979094
 Para q = -5.0,el valor DFA es:2.949903701334631
 Para q = -4.5,el valor DFA es:2.9452237979956393
 Para q = -4.0,el valor DFA es:2.940575599095791
 Para q = -3.5,el valor DFA es:2.935999485693405
 Para q = -3.0,el valor DFA es:2.9315310732465027
 Para q = -2.5,el valor DFA es:2.927199552385458
 Para q = -2.0,el valor DFA es:2.923026965326564
 Para q = -1.5,el valor DFA es:2.9190283545869224
 Para q = -1.0,el valor DFA es:2.915212546753739
 Para q = -0.5,el valor DFA es:2.911583268654393
 Para q = 0.0,el valor DFA es:2.9081403261890606
 Para q = 0.5,el valor DFA es:2.904880663957331
 Para q = 1.0,el valor DFA es:2.9017992202672116
 Para q = 1.5,el valor DFA es:2.8988895670147734
 Para q = 2.0,el valor DFA es:2.8961443670768254
 Para q = 2.5,el valor DFA es:2.89355569712247
 Para q = 3.0,el valor DFA es:2.8911152809181515
 Para q = 3.5,el valor DFA es:2.8888146670577055
 Para q = 4.0,el valor DFA es:2.8866453725523513
 Para q = 4.5,el valor DFA es:2.8845990035530034
 Para q = 5.0,el valor DFA es:2.882667357812214
 Para q = 5.5,el valor DFA es:2.8808425100131827
 Para q = 6.0,el valor DFA es:2.8791168798848417
 Para q = 6.5,el valor DFA es:2.8774832831216384
 Para q = 7.0,el valor DFA es:2.8759349657806865
 Para q = 7.5,el valor DFA es:2.8744656235573167
 Para q = 8.0,el valor DFA es:2.873069407897938
 Para q = 8.5,el valor DFA es:2.8717409212153906
 Para q = 9.0,el valor DFA es:2.8704752035393875
 Para q = 9.5,el valor DFA es:2.8692677128184827
 Para q = 10.0,el valor DFA es:2.8681143008551624
 El delta Q es: 0.12267486920983828
