
 Para q = -10.0,el valor DFA es:2.345356789888086
 Para q = -9.5,el valor DFA es:2.3433723597520992
 Para q = -9.0,el valor DFA es:2.341191390548037
 Para q = -8.5,el valor DFA es:2.338784184312542
 Para q = -8.0,el valor DFA es:2.3361153865031086
 Para q = -7.5,el valor DFA es:2.3331428602984006
 Para q = -7.0,el valor DFA es:2.329816437431737
 Para q = -6.5,el valor DFA es:2.3260766496240315
 Para q = -6.0,el valor DFA es:2.3218536806666457
 Para q = -5.5,el valor DFA es:2.31706702495194
 Para q = -5.0,el valor DFA es:2.3116267508875588
 Para q = -4.5,el valor DFA es:2.3054378879370554
 Para q = -4.0,el valor DFA es:2.298410209201896
 Para q = -3.5,el valor DFA es:2.290476140541545
 Para q = -3.0,el valor DFA es:2.281618542575011
 Para q = -2.5,el valor DFA es:2.271905727994899
 Para q = -2.0,el valor DFA es:2.2615220744726137
 Para q = -1.5,el valor DFA es:2.2507729267341157
 Para q = -1.0,el valor DFA es:2.240044483848144
 Para q = -0.5,el valor DFA es:2.2297233531715293
 Para q = 0.0,el valor DFA es:2.2201122555467707
 Para q = 0.5,el valor DFA es:2.211383966488404
 Para q = 1.0,el valor DFA es:2.203586401769628
 Para q = 1.5,el valor DFA es:2.196679664553953
 Para q = 2.0,el valor DFA es:2.1905781101849406
 Para q = 2.5,el valor DFA es:2.185181708159276
 Para q = 3.0,el valor DFA es:2.180393784433784
 Para q = 3.5,el valor DFA es:2.17612855531168
 Para q = 4.0,el valor DFA es:2.1723128352662537
 Para q = 4.5,el valor DFA es:2.168885112871091
 Para q = 5.0,el valor DFA es:2.1657937895854995
 Para q = 5.5,el valor DFA es:2.162995401449723
 Para q = 6.0,el valor DFA es:2.1604531089821664
 Para q = 6.5,el valor DFA es:2.1581354972582263
 Para q = 7.0,el valor DFA es:2.156015640795837
 Para q = 7.5,el valor DFA es:2.1540703708471356
 Para q = 8.0,el valor DFA es:2.1522796912273106
 Para q = 8.5,el valor DFA es:2.1506263029086106
 Para q = 9.0,el valor DFA es:2.1490952099690066
 Para q = 9.5,el valor DFA es:2.1476733884240526
 Para q = 10.0,el valor DFA es:2.146349505353729
 El delta Q es: 0.1990072845343569
