
 Para q = -10.0,el valor DFA es:3.0435668330388683
 Para q = -9.5,el valor DFA es:3.040184117818097
 Para q = -9.0,el valor DFA es:3.03650921426105
 Para q = -8.5,el valor DFA es:3.032502539416652
 Para q = -8.0,el valor DFA es:3.0281169731233724
 Para q = -7.5,el valor DFA es:3.023296063236698
 Para q = -7.0,el valor DFA es:3.0179717959880135
 Para q = -6.5,el valor DFA es:3.01206189468577
 Para q = -6.0,el valor DFA es:3.0054667079619533
 Para q = -5.5,el valor DFA es:2.9980659915154657
 Para q = -5.0,el valor DFA es:2.9897164231372773
 Para q = -4.5,el valor DFA es:2.980251773711073
 Para q = -4.0,el valor DFA es:2.9694896304878187
 Para q = -3.5,el valor DFA es:2.957251597983768
 Para q = -3.0,el valor DFA es:2.9434069526198066
 Para q = -2.5,el valor DFA es:2.9279482167081428
 Para q = -2.0,el valor DFA es:2.911090859732544
 Para q = -1.5,el valor DFA es:2.8933503324944945
 Para q = -1.0,el valor DFA es:2.8755120701769887
 Para q = -0.5,el valor DFA es:2.858446080114613
 Para q = 0.0,el valor DFA es:2.8428496157546768
 Para q = 0.5,el valor DFA es:2.829085824211268
 Para q = 1.0,el valor DFA es:2.817195460075834
 Para q = 1.5,el valor DFA es:2.8070143400115692
 Para q = 2.0,el valor DFA es:2.7982952568428137
 Para q = 2.5,el valor DFA es:2.7907862293092367
 Para q = 3.0,el valor DFA es:2.784265874949311
 Para q = 3.5,el valor DFA es:2.7785526627511343
 Para q = 4.0,el valor DFA es:2.7735022992799494
 Para q = 4.5,el valor DFA es:2.7690013144532
 Para q = 5.0,el valor DFA es:2.764960431705375
 Para q = 5.5,el valor DFA es:2.7613089498395404
 Para q = 6.0,el valor DFA es:2.7579903447740923
 Para q = 6.5,el valor DFA es:2.754958941426015
 Para q = 7.0,el valor DFA es:2.7521774263975876
 Para q = 7.5,el valor DFA es:2.7496149912590613
 Para q = 8.0,el valor DFA es:2.747245940082356
 Para q = 8.5,el valor DFA es:2.745048637212788
 Para q = 9.0,el valor DFA es:2.743004705057797
 Para q = 9.5,el valor DFA es:2.741098406738822
 Para q = 10.0,el valor DFA es:2.7393161664943997
 El delta Q es: 0.30425066654446864
