
 Para q = -10.0,el valor DFA es:3.127212935108572
 Para q = -9.5,el valor DFA es:3.122011349627099
 Para q = -9.0,el valor DFA es:3.1162545679558393
 Para q = -8.5,el valor DFA es:3.1098549924354115
 Para q = -8.0,el valor DFA es:3.1027084091910284
 Para q = -7.5,el valor DFA es:3.094691504444754
 Para q = -7.0,el valor DFA es:3.0856602993123867
 Para q = -6.5,el valor DFA es:3.075451338261751
 Para q = -6.0,el valor DFA es:3.0638894202483
 Para q = -5.5,el valor DFA es:3.050809027706547
 Para q = -5.0,el valor DFA es:3.036101113028061
 Para q = -4.5,el valor DFA es:3.0197987523115333
 Para q = -4.0,el valor DFA es:3.0022015229381425
 Para q = -3.5,el valor DFA es:2.983987948778653
 Para q = -3.0,el valor DFA es:2.9661882571610323
 Para q = -2.5,el valor DFA es:2.9499054972627183
 Para q = -2.0,el valor DFA es:2.9359041070515417
 Para q = -1.5,el valor DFA es:2.9243905006320756
 Para q = -1.0,el valor DFA es:2.9151228450498476
 Para q = -0.5,el valor DFA es:2.907666234833593
 Para q = 0.0,el valor DFA es:2.901585980072036
 Para q = 0.5,el valor DFA es:2.896529097178158
 Para q = 1.0,el valor DFA es:2.8922347492175247
 Para q = 1.5,el valor DFA es:2.8885176343176835
 Para q = 2.0,el valor DFA es:2.885247272243472
 Para q = 2.5,el valor DFA es:2.882331009409556
 Para q = 3.0,el valor DFA es:2.8797018859588177
 Para q = 3.5,el valor DFA es:2.877310449553296
 Para q = 4.0,el valor DFA es:2.8751193359949156
 Para q = 4.5,el valor DFA es:2.873099679026711
 Para q = 5.0,el valor DFA es:2.8712287053773253
 Para q = 5.5,el valor DFA es:2.8694880979060473
 Para q = 6.0,el valor DFA es:2.86786286197891
 Para q = 6.5,el valor DFA es:2.8663405268086204
 Para q = 7.0,el valor DFA es:2.864910573592273
 Para q = 7.5,el valor DFA es:2.8635640197147354
 Para q = 8.0,el valor DFA es:2.862293111907345
 Para q = 8.5,el valor DFA es:2.8610910964441505
 Para q = 9.0,el valor DFA es:2.8599520444330144
 Para q = 9.5,el valor DFA es:2.8588707169357024
 Para q = 10.0,el valor DFA es:2.8578424591933835
 El delta Q es: 0.2693704759151885
