
 Para q = -10.0,el valor DFA es:3.1278943512135404
 Para q = -9.5,el valor DFA es:3.1237903154162376
 Para q = -9.0,el valor DFA es:3.1193216543550957
 Para q = -8.5,el valor DFA es:3.1144439850647445
 Para q = -8.0,el valor DFA es:3.1091085085251935
 Para q = -7.5,el valor DFA es:3.103263033036385
 Para q = -7.0,el valor DFA es:3.096854240094749
 Para q = -6.5,el valor DFA es:3.089831898032851
 Para q = -6.0,el valor DFA es:3.082155889103699
 Para q = -5.5,el valor DFA es:3.0738068375197614
 Para q = -5.0,el valor DFA es:3.0648004329477487
 Para q = -4.5,el valor DFA es:3.0552037409334702
 Para q = -4.0,el valor DFA es:3.0451487100176005
 Para q = -3.5,el valor DFA es:3.0348348793808704
 Para q = -3.0,el valor DFA es:3.024513207783162
 Para q = -2.5,el valor DFA es:3.0144495503101476
 Para q = -2.0,el valor DFA es:3.004878221649231
 Para q = -1.5,el valor DFA es:2.9959642753095537
 Para q = -1.0,el valor DFA es:2.9877889164845732
 Para q = -0.5,el valor DFA es:2.9803588511450014
 Para q = 0.0,el valor DFA es:2.9736292133215336
 Para q = 0.5,el valor DFA es:2.9675279941966877
 Para q = 1.0,el valor DFA es:2.961974780858778
 Para q = 1.5,el valor DFA es:2.9568921231722785
 Para q = 2.0,el valor DFA es:2.9522109390077373
 Para q = 2.5,el valor DFA es:2.947872149762475
 Para q = 3.0,el valor DFA es:2.943826359686919
 Para q = 3.5,el valor DFA es:2.940032737181365
 Para q = 4.0,el valor DFA es:2.9364577143346127
 Para q = 4.5,el valor DFA es:2.93307377563108
 Para q = 5.0,el valor DFA es:2.929858421199242
 Para q = 5.5,el valor DFA es:2.92679330562097
 Para q = 6.0,el valor DFA es:2.9238635237994512
 Para q = 6.5,el valor DFA es:2.921057011574444
 Para q = 7.0,el valor DFA es:2.9183640347663644
 Para q = 7.5,el valor DFA es:2.9157767484043218
 Para q = 8.0,el valor DFA es:2.9132888148201412
 Para q = 8.5,el valor DFA es:2.9108950740906687
 Para q = 9.0,el valor DFA es:2.9085912630294146
 Para q = 9.5,el valor DFA es:2.9063737800171263
 Para q = 10.0,el valor DFA es:2.9042394929731983
 El delta Q es: 0.22365485824034215
