
 Para q = -10.0,el valor DFA es:3.036698471229918
 Para q = -9.5,el valor DFA es:3.031499070134489
 Para q = -9.0,el valor DFA es:3.025745847918689
 Para q = -8.5,el valor DFA es:3.019352794370837
 Para q = -8.0,el valor DFA es:3.0122191446872866
 Para q = -7.5,el valor DFA es:3.004228895723632
 Para q = -7.0,el valor DFA es:2.995253191353065
 Para q = -6.5,el valor DFA es:2.9851590241302928
 Para q = -6.0,el valor DFA es:2.9738303966142405
 Para q = -5.5,el valor DFA es:2.961211177901844
 Para q = -5.0,el valor DFA es:2.9473786157690136
 Para q = -4.5,el valor DFA es:2.9326422156733223
 Para q = -4.0,el valor DFA es:2.9176203061682786
 Para q = -3.5,el valor DFA es:2.9031922416748004
 Para q = -3.0,el valor DFA es:2.8902535070323228
 Para q = -2.5,el valor DFA es:2.8793870635711936
 Para q = -2.0,el valor DFA es:2.8707045270104485
 Para q = -1.5,el valor DFA es:2.863950208043713
 Para q = -1.0,el valor DFA es:2.858716469016307
 Para q = -0.5,el valor DFA es:2.8546057908458646
 Para q = 0.0,el valor DFA es:2.8512993326121165
 Para q = 0.5,el valor DFA es:2.8485649274149214
 Para q = 1.0,el valor DFA es:2.846241315473534
 Para q = 1.5,el valor DFA es:2.8442185460072285
 Para q = 2.0,el valor DFA es:2.8424217029313863
 Para q = 2.5,el valor DFA es:2.840799182365448
 Para q = 3.0,el valor DFA es:2.839314780312026
 Para q = 3.5,el valor DFA es:2.837942512303517
 Para q = 4.0,el valor DFA es:2.8366632610907336
 Para q = 4.5,el valor DFA es:2.8354626074604945
 Para q = 5.0,el valor DFA es:2.8343294156892473
 Para q = 5.5,el valor DFA es:2.833254898728715
 Para q = 6.0,el valor DFA es:2.832231989652239
 Para q = 6.5,el valor DFA es:2.8312549105092732
 Para q = 7.0,el valor DFA es:2.8303188701707125
 Para q = 7.5,el valor DFA es:2.829419847866657
 Para q = 8.0,el valor DFA es:2.8285544347185327
 Para q = 8.5,el valor DFA es:2.827719715302597
 Para q = 9.0,el valor DFA es:2.826913177409072
 Para q = 9.5,el valor DFA es:2.8261326420620554
 Para q = 10.0,el valor DFA es:2.8253762083829344
 El delta Q es: 0.21132226284698374
