
 Para q = -10.0,el valor DFA es:5.200028498969301
 Para q = -9.5,el valor DFA es:5.189516247962462
 Para q = -9.0,el valor DFA es:5.177841590343756
 Para q = -8.5,el valor DFA es:5.164801983869413
 Para q = -8.0,el valor DFA es:5.150145515434829
 Para q = -7.5,el valor DFA es:5.133555140123274
 Para q = -7.0,el valor DFA es:5.114626636350562
 Para q = -6.5,el valor DFA es:5.092837311975599
 Para q = -6.0,el valor DFA es:5.067501005569416
 Para q = -5.5,el valor DFA es:5.037702923128811
 Para q = -5.0,el valor DFA es:5.00220607286567
 Para q = -4.5,el valor DFA es:4.959323814561342
 Para q = -4.0,el valor DFA es:4.906779869841488
 Para q = -3.5,el valor DFA es:4.841708931736463
 Para q = -3.0,el valor DFA es:4.761471111407607
 Para q = -2.5,el valor DFA es:4.6672959228606485
 Para q = -2.0,el valor DFA es:4.571691412574776
 Para q = -1.5,el valor DFA es:4.495182770550487
 Para q = -1.0,el valor DFA es:4.444106201899045
 Para q = -0.5,el valor DFA es:4.410286700742851
 Para q = 0.0,el valor DFA es:4.385935755736939
 Para q = 0.5,el valor DFA es:4.367000115682248
 Para q = 1.0,el valor DFA es:4.351525649615374
 Para q = 1.5,el valor DFA es:4.338471428316718
 Para q = 2.0,el valor DFA es:4.327209055236844
 Para q = 2.5,el valor DFA es:4.317322131292225
 Para q = 3.0,el valor DFA es:4.308517923393717
 Para q = 3.5,el valor DFA es:4.300582730927672
 Para q = 4.0,el valor DFA es:4.29335636646831
 Para q = 4.5,el valor DFA es:4.286716199567024
 Para q = 5.0,el valor DFA es:4.280566594765337
 Para q = 5.5,el valor DFA es:4.274831681856513
 Para q = 6.0,el valor DFA es:4.2694503135073445
 Para q = 6.5,el valor DFA es:4.2643725124637895
 Para q = 7.0,el valor DFA es:4.259556953957935
 Para q = 7.5,el valor DFA es:4.254969174343326
 Para q = 8.0,el valor DFA es:4.250580289894051
 Para q = 8.5,el valor DFA es:4.246366071713277
 Para q = 9.0,el valor DFA es:4.242306265323221
 Para q = 9.5,el valor DFA es:4.2383840735987866
 Para q = 10.0,el valor DFA es:4.234585743659531
 El delta Q es: 0.9654427553097698
