
 Para q = -10.0,el valor DFA es:2.98353169786482
 Para q = -9.5,el valor DFA es:2.9797566398302715
 Para q = -9.0,el valor DFA es:2.975596107948549
 Para q = -8.5,el valor DFA es:2.9709929929209307
 Para q = -8.0,el valor DFA es:2.965881790341572
 Para q = -7.5,el valor DFA es:2.960189114127888
 Para q = -7.0,el valor DFA es:2.953836158093751
 Para q = -6.5,el valor DFA es:2.9467447580945216
 Para q = -6.0,el valor DFA es:2.938849509800576
 Para q = -5.5,el valor DFA es:2.930118888082053
 Para q = -5.0,el valor DFA es:2.9205871793488742
 Para q = -4.5,el valor DFA es:2.9103938109475993
 Para q = -4.0,el valor DFA es:2.89981528195312
 Para q = -3.5,el valor DFA es:2.8892616724271254
 Para q = -3.0,el valor DFA es:2.8792118785447656
 Para q = -2.5,el valor DFA es:2.87009702719283
 Para q = -2.0,el valor DFA es:2.862190092770074
 Para q = -1.5,el valor DFA es:2.8555643744119434
 Para q = -1.0,el valor DFA es:2.850130218504562
 Para q = -0.5,el valor DFA es:2.845708531337432
 Para q = 0.0,el valor DFA es:2.842096671604748
 Para q = 0.5,el valor DFA es:2.839108209653983
 Para q = 1.0,el valor DFA es:2.8365891272819526
 Para q = 1.5,el valor DFA es:2.834419786900699
 Para q = 2.0,el valor DFA es:2.8325105408894786
 Para q = 2.5,el valor DFA es:2.830795575762207
 Para q = 3.0,el valor DFA es:2.829227092151225
 Para q = 3.5,el valor DFA es:2.8277705308905112
 Para q = 4.0,el valor DFA es:2.8264009190381905
 Para q = 4.5,el valor DFA es:2.8251001753139677
 Para q = 5.0,el valor DFA es:2.8238551629319177
 Para q = 5.5,el valor DFA es:2.822656296864298
 Para q = 6.0,el valor DFA es:2.821496551476269
 Para q = 6.5,el valor DFA es:2.8203707530818227
 Para q = 7.0,el valor DFA es:2.8192750738474874
 Para q = 7.5,el valor DFA es:2.818206667728136
 Para q = 8.0,el valor DFA es:2.8171634067970253
 Para q = 8.5,el valor DFA es:2.81614368889566
 Para q = 9.0,el valor DFA es:2.815146296323792
 Para q = 9.5,el valor DFA es:2.814170291391349
 Para q = 10.0,el valor DFA es:2.8132149388665924
 El delta Q es: 0.1703167589982275
