
 Para q = -10.0,el valor DFA es:3.0440933934337555
 Para q = -9.5,el valor DFA es:3.0397563298832617
 Para q = -9.0,el valor DFA es:3.0349816922515145
 Para q = -8.5,el valor DFA es:3.029706209573138
 Para q = -8.0,el valor DFA es:3.023855425915871
 Para q = -7.5,el valor DFA es:3.0173416225926197
 Para q = -7.0,el valor DFA es:3.0100615059368234
 Para q = -6.5,el valor DFA es:3.0018938453859576
 Para q = -6.0,el valor DFA es:2.9926975462572303
 Para q = -5.5,el valor DFA es:2.9823112738231785
 Para q = -5.0,el valor DFA es:2.970557001170654
 Para q = -4.5,el valor DFA es:2.957252116742573
 Para q = -4.0,el valor DFA es:2.942238091589057
 Para q = -3.5,el valor DFA es:2.9254365444390515
 Para q = -3.0,el valor DFA es:2.906939345443075
 Para q = -2.5,el valor DFA es:2.8871149073550657
 Para q = -2.0,el valor DFA es:2.8666623280568504
 Para q = -1.5,el valor DFA es:2.846513708920144
 Para q = -1.0,el valor DFA es:2.8275680320549674
 Para q = -0.5,el valor DFA es:2.810413809385487
 Para q = 0.0,el valor DFA es:2.7952334857640064
 Para q = 0.5,el valor DFA es:2.7819047421738565
 Para q = 1.0,el valor DFA es:2.7701670685981425
 Para q = 1.5,el valor DFA es:2.7597457127126312
 Para q = 2.0,el valor DFA es:2.750409415234069
 Para q = 2.5,el valor DFA es:2.741982703028397
 Para q = 3.0,el valor DFA es:2.7343374282190243
 Para q = 3.5,el valor DFA es:2.7273789562208366
 Para q = 4.0,el valor DFA es:2.7210339570135424
 Para q = 4.5,el valor DFA es:2.7152418411091817
 Para q = 5.0,el valor DFA es:2.709949632053958
 Para q = 5.5,el valor DFA es:2.705109323661233
 Para q = 6.0,el valor DFA es:2.7006767448546154
 Para q = 6.5,el valor DFA es:2.696611193941722
 Para q = 7.0,el valor DFA es:2.6928753778239605
 Para q = 7.5,el valor DFA es:2.68943540819804
 Para q = 8.0,el valor DFA es:2.6862607480742673
 Para q = 8.5,el valor DFA es:2.683324080931745
 Para q = 9.0,el valor DFA es:2.6806011119773365
 Para q = 9.5,el valor DFA es:2.6780703238624253
 Para q = 10.0,el valor DFA es:2.675712709925735
 El delta Q es: 0.36838068350802056
