
 Para q = -10.0,el valor DFA es:3.3915269090748312
 Para q = -9.5,el valor DFA es:3.385692577026562
 Para q = -9.0,el valor DFA es:3.3792594755150676
 Para q = -8.5,el valor DFA es:3.372132683136605
 Para q = -8.0,el valor DFA es:3.3641964780136053
 Para q = -7.5,el valor DFA es:3.355308630797299
 Para q = -7.0,el valor DFA es:3.3452931035278435
 Para q = -6.5,el valor DFA es:3.333931115093803
 Para q = -6.0,el valor DFA es:3.3209513970160462
 Para q = -5.5,el valor DFA es:3.3060229617129555
 Para q = -5.0,el valor DFA es:3.288760127196229
 Para q = -4.5,el valor DFA es:3.2687641836784858
 Para q = -4.0,el valor DFA es:3.245752965709418
 Para q = -3.5,el valor DFA es:3.219853745714161
 Para q = -3.0,el valor DFA es:3.1920636683211545
 Para q = -2.5,el valor DFA es:3.164536553526846
 Para q = -2.0,el valor DFA es:3.1399761475987242
 Para q = -1.5,el valor DFA es:3.120185661665559
 Para q = -1.0,el valor DFA es:3.1052838698503886
 Para q = -0.5,el valor DFA es:3.0942887976992797
 Para q = 0.0,el valor DFA es:3.086024028608138
 Para q = 0.5,el valor DFA es:3.0795623643900147
 Para q = 1.0,el valor DFA es:3.074283458161755
 Para q = 1.5,el valor DFA es:3.069798901878678
 Para q = 2.0,el valor DFA es:3.065869864280158
 Para q = 2.5,el valor DFA es:3.0623482432423668
 Para q = 3.0,el valor DFA es:3.0591399469436102
 Para q = 3.5,el valor DFA es:3.056183124524349
 Para q = 4.0,el valor DFA es:3.053435459005262
 Para q = 4.5,el valor DFA es:3.0508667357191315
 Para q = 5.0,el valor DFA es:3.0484544470102715
 Para q = 5.5,el valor DFA es:3.046181149532181
 Para q = 6.0,el valor DFA es:3.0440328437149007
 Para q = 6.5,el valor DFA es:3.04199795792322
 Para q = 7.0,el valor DFA es:3.040066696149764
 Para q = 7.5,el valor DFA es:3.0382306080291963
 Para q = 8.0,el valor DFA es:3.03648229724792
 Para q = 8.5,el valor DFA es:3.0348152177152747
 Para q = 9.0,el valor DFA es:3.0332235264917733
 Para q = 9.5,el valor DFA es:3.031701974211455
 Para q = 10.0,el valor DFA es:3.030245820855491
 El delta Q es: 0.36128108821934024
