
 Para q = -10.0,el valor DFA es:2.532979812543396
 Para q = -9.5,el valor DFA es:2.530414800815615
 Para q = -9.0,el valor DFA es:2.5275790831017186
 Para q = -8.5,el valor DFA es:2.5244285500015318
 Para q = -8.0,el valor DFA es:2.5209089982151553
 Para q = -7.5,el valor DFA es:2.516953018401753
 Para q = -7.0,el valor DFA es:2.5124756465728275
 Para q = -6.5,el valor DFA es:2.5073681885240253
 Para q = -6.0,el valor DFA es:2.501489321484934
 Para q = -5.5,el valor DFA es:2.494652137587105
 Para q = -5.0,el valor DFA es:2.4866052421653184
 Para q = -4.5,el valor DFA es:2.477005617799556
 Para q = -4.0,el valor DFA es:2.4653818250921553
 Para q = -3.5,el valor DFA es:2.4510920307484394
 Para q = -3.0,el valor DFA es:2.4333034873931365
 Para q = -2.5,el valor DFA es:2.4110839476233474
 Para q = -2.0,el valor DFA es:2.3838219524711515
 Para q = -1.5,el valor DFA es:2.352217109321874
 Para q = -1.0,el valor DFA es:2.3193040617460796
 Para q = -0.5,el valor DFA es:2.289523245223489
 Para q = 0.0,el valor DFA es:2.265699565348654
 Para q = 0.5,el valor DFA es:2.247773875672804
 Para q = 1.0,el valor DFA es:2.2342265761741036
 Para q = 1.5,el valor DFA es:2.2235251907674156
 Para q = 2.0,el valor DFA es:2.214591518424288
 Para q = 2.5,el valor DFA es:2.206765703278047
 Para q = 3.0,el valor DFA es:2.1996711017377826
 Para q = 3.5,el valor DFA es:2.1931045873861477
 Para q = 4.0,el valor DFA es:2.18696459016919
 Para q = 4.5,el valor DFA es:2.181205990293031
 Para q = 5.0,el valor DFA es:2.1758119819417656
 Para q = 5.5,el valor DFA es:2.170776912235812
 Para q = 6.0,el valor DFA es:2.166096560379951
 Para q = 6.5,el valor DFA es:2.1617634628841724
 Para q = 7.0,el valor DFA es:2.1577654500768566
 Para q = 7.5,el valor DFA es:2.1540859842311315
 Para q = 8.0,el valor DFA es:2.1507053044082878
 Para q = 8.5,el valor DFA es:2.147601759975886
 Para q = 9.0,el valor DFA es:2.1447530083084274
 Para q = 9.5,el valor DFA es:2.142136948127467
 Para q = 10.0,el valor DFA es:2.1397323720068693
 El delta Q es: 0.39324744053652694
