
 Para q = -10.0,el valor DFA es:3.0067466395285494
 Para q = -9.5,el valor DFA es:3.0017736035574263
 Para q = -9.0,el valor DFA es:2.9963076961689366
 Para q = -8.5,el valor DFA es:2.990283392675557
 Para q = -8.0,el valor DFA es:2.98362911147277
 Para q = -7.5,el valor DFA es:2.9762707985319508
 Para q = -7.0,el valor DFA es:2.9681397740511817
 Para q = -6.5,el valor DFA es:2.959187582711802
 Para q = -6.0,el valor DFA es:2.9494109100682335
 Para q = -5.5,el valor DFA es:2.9388876764930405
 Para q = -5.0,el valor DFA es:2.9278181403270085
 Para q = -4.5,el valor DFA es:2.91655052950125
 Para q = -4.0,el valor DFA es:2.905557497031737
 Para q = -3.5,el valor DFA es:2.895341451147827
 Para q = -3.0,el valor DFA es:2.8862982426261667
 Para q = -2.5,el valor DFA es:2.8786175557567297
 Para q = -2.0,el valor DFA es:2.872276793410065
 Para q = -1.5,el valor DFA es:2.867110627838007
 Para q = -1.0,el valor DFA es:2.862897044971598
 Para q = -0.5,el valor DFA es:2.859418591032319
 Para q = 0.0,el valor DFA es:2.856491386193842
 Para q = 0.5,el valor DFA es:2.8539718883132243
 Para q = 1.0,el valor DFA es:2.8517528981421
 Para q = 1.5,el valor DFA es:2.8497561750705565
 Para q = 2.0,el valor DFA es:2.8479251572985262
 Para q = 2.5,el valor DFA es:2.8462189980232675
 Para q = 3.0,el valor DFA es:2.8446080784795797
 Para q = 3.5,el valor DFA es:2.8430707786422516
 Para q = 4.0,el valor DFA es:2.8415912065554445
 Para q = 4.5,el valor DFA es:2.8401576184057618
 Para q = 5.0,el valor DFA es:2.838761320897925
 Para q = 5.5,el valor DFA es:2.837395904222816
 Para q = 6.0,el valor DFA es:2.8360566991331755
 Para q = 6.5,el valor DFA es:2.83474038497952
 Para q = 7.0,el valor DFA es:2.833444699181012
 Para q = 7.5,el valor DFA es:2.8321682150015506
 Para q = 8.0,el valor DFA es:2.830910165757045
 Para q = 8.5,el valor DFA es:2.8296703012530684
 Para q = 9.0,el valor DFA es:2.8284487674417575
 Para q = 9.5,el valor DFA es:2.827246003748464
 Para q = 10.0,el valor DFA es:2.826062654769028
 El delta Q es: 0.1806839847595212
