
 Para q = -10.0,el valor DFA es:3.942728587968298
 Para q = -9.8,el valor DFA es:3.940010872348405
 Para q = -9.600000000000001,el valor DFA es:3.9371804662050476
 Para q = -9.400000000000002,el valor DFA es:3.9342302797542175
 Para q = -9.200000000000003,el valor DFA es:3.9311526272667177
 Para q = -9.000000000000004,el valor DFA es:3.9279391652556535
 Para q = -8.800000000000004,el valor DFA es:3.924580823267048
 Para q = -8.600000000000005,el valor DFA es:3.921067726336978
 Para q = -8.400000000000006,el valor DFA es:3.917389108077075
 Para q = -8.200000000000006,el valor DFA es:3.9135332132504375
 Para q = -8.000000000000007,el valor DFA es:3.909487188610936
 Para q = -7.800000000000008,el valor DFA es:3.9052369607143675
 Para q = -7.6000000000000085,el valor DFA es:3.9007670993926626
 Para q = -7.400000000000009,el valor DFA es:3.89606066564696
 Para q = -7.20000000000001,el valor DFA es:3.8910990429157524
 Para q = -7.000000000000011,el valor DFA es:3.885861751092396
 Para q = -6.800000000000011,el valor DFA es:3.8803262434262806
 Para q = -6.600000000000012,el valor DFA es:3.874467687731212
 Para q = -6.400000000000013,el valor DFA es:3.868258735423183
 Para q = -6.2000000000000135,el valor DFA es:3.861669285234535
 Para q = -6.000000000000014,el valor DFA es:3.854666253616546
 Para q = -5.800000000000015,el valor DFA es:3.847213371741339
 Para q = -5.600000000000016,el valor DFA es:3.839271040924062
 Para q = -5.400000000000016,el valor DFA es:3.8307962959832276
 Para q = -5.200000000000017,el valor DFA es:3.821742951903179
 Para q = -5.000000000000018,el valor DFA es:3.8120620460667785
 Para q = -4.8000000000000185,el valor DFA es:3.8017027393522036
 Para q = -4.600000000000019,el valor DFA es:3.7906139065449675
 Para q = -4.40000000000002,el valor DFA es:3.7787467278797715
 Para q = -4.200000000000021,el valor DFA es:3.766058677300842
 Para q = -4.000000000000021,el valor DFA es:3.7525193568594606
 Para q = -3.800000000000022,el valor DFA es:3.7381185815813143
 Para q = -3.6000000000000227,el valor DFA es:3.7228768529147245
 Para q = -3.4000000000000234,el valor DFA es:3.706857698318216
 Para q = -3.200000000000024,el valor DFA es:3.690180142304253
 Para q = -3.000000000000025,el valor DFA es:3.6730278648202517
 Para q = -2.8000000000000256,el valor DFA es:3.655649992743632
 Para q = -2.6000000000000263,el valor DFA es:3.6383483195638653
 Para q = -2.400000000000027,el valor DFA es:3.621448688755554
 Para q = -2.2000000000000277,el valor DFA es:3.605260570604286
 Para q = -2.0000000000000284,el valor DFA es:3.5900356876234993
 Para q = -1.8000000000000291,el valor DFA es:3.5759389234585948
 Para q = -1.6000000000000298,el valor DFA es:3.563039939430489
 Para q = -1.4000000000000306,el valor DFA es:3.551324818695565
 Para q = -1.2000000000000313,el valor DFA es:3.54071979965519
 Para q = -1.000000000000032,el valor DFA es:3.5311174536434815
 Para q = -0.8000000000000327,el valor DFA es:3.5223984999097415
 Para q = -0.6000000000000334,el valor DFA es:3.5144465821751387
 Para q = -0.4000000000000341,el valor DFA es:3.5071563772082053
 Para q = -0.20000000000003482,el valor DFA es:3.500436773047593
 Para q = -3.552713678800501e-14,el valor DFA es:3.500038281489091
 Para q = 0.19999999999996376,el valor DFA es:3.488415267670067
 Para q = 0.39999999999996305,el valor DFA es:3.4829966910257086
 Para q = 0.5999999999999623,el valor DFA es:3.4779113714075374
 Para q = 0.7999999999999616,el valor DFA es:3.4731225704647932
 Para q = 0.9999999999999609,el valor DFA es:3.4685992527627407
 Para q = 1.1999999999999602,el valor DFA es:3.464314928542037
 Para q = 1.3999999999999595,el valor DFA es:3.4602467626040903
 Para q = 1.5999999999999588,el valor DFA es:3.4563748958466176
 Para q = 1.799999999999958,el valor DFA es:3.4526819291604514
 Para q = 1.9999999999999574,el valor DFA es:3.449152527823978
 Para q = 2.1999999999999567,el valor DFA es:3.4457731139030705
 Para q = 2.399999999999956,el valor DFA es:3.442531622552268
 Para q = 2.5999999999999552,el valor DFA es:3.4394173048700076
 Para q = 2.7999999999999545,el valor DFA es:3.436420565067316
 Para q = 2.999999999999954,el valor DFA es:3.4335328234055886
 Para q = 3.199999999999953,el valor DFA es:3.430746398953111
 Para q = 3.3999999999999524,el valor DFA es:3.428054407991138
 Para q = 3.5999999999999517,el valor DFA es:3.425450675105467
 Para q = 3.799999999999951,el valor DFA es:3.422929654809031
 Para q = 3.9999999999999503,el valor DFA es:3.4204863620851023
 Para q = 4.1999999999999496,el valor DFA es:3.418116310609684
 Para q = 4.399999999999949,el valor DFA es:3.415815457666635
 Para q = 4.599999999999948,el valor DFA es:3.413580154949991
 Para q = 4.799999999999947,el valor DFA es:3.4114071045807086
 Para q = 4.999999999999947,el valor DFA es:3.4092933197660007
 Para q = 5.199999999999946,el valor DFA es:3.4072360896086917
 Para q = 5.399999999999945,el valor DFA es:3.4052329476381282
 Para q = 5.599999999999945,el valor DFA es:3.403281643686981
 Para q = 5.799999999999944,el valor DFA es:3.4013801187824546
 Para q = 5.999999999999943,el valor DFA es:3.3995264827577114
 Para q = 6.1999999999999424,el valor DFA es:3.3977189943209005
 Para q = 6.399999999999942,el valor DFA es:3.3959560433461555
 Para q = 6.599999999999941,el valor DFA es:3.3942361351739256
 Para q = 6.79999999999994,el valor DFA es:3.392557876727832
 Para q = 6.99999999999994,el valor DFA es:3.3909199642723813
 Para q = 7.199999999999939,el valor DFA es:3.389321172650851
 Para q = 7.399999999999938,el valor DFA es:3.387760345855952
 Para q = 7.5999999999999375,el valor DFA es:3.3862363887976814
 Para q = 7.799999999999937,el valor DFA es:3.3847482601436236
 Para q = 7.999999999999936,el valor DFA es:3.3832949661167953
 Para q = 8.199999999999935,el valor DFA es:3.3818755551453816
 Para q = 8.399999999999935,el valor DFA es:3.3804891132673003
 Para q = 8.599999999999934,el valor DFA es:3.3791347602007082
 Para q = 8.799999999999933,el valor DFA es:3.377811645999263
 Para q = 8.999999999999932,el valor DFA es:3.3765189482182754
 Para q = 9.199999999999932,el valor DFA es:3.3752558695248323
 Para q = 9.399999999999931,el valor DFA es:3.3740216356915287
 Para q = 9.59999999999993,el valor DFA es:3.3728154939196426
 Para q = 9.79999999999993,el valor DFA es:3.3716367114433834
 Para q = 9.999999999999929,el valor DFA es:3.3704845743722607
 El delta Q es: 0.5722440135960372
