
 Para q = -10.0,el valor DFA es:2.9620301434661203
 Para q = -9.5,el valor DFA es:2.9580512480572017
 Para q = -9.0,el valor DFA es:2.953748309625271
 Para q = -8.5,el valor DFA es:2.9490928558419864
 Para q = -8.0,el valor DFA es:2.9440583369600968
 Para q = -7.5,el valor DFA es:2.9386233780362123
 Para q = -7.0,el valor DFA es:2.93277658016941
 Para q = -6.5,el valor DFA es:2.9265230357424725
 Para q = -6.0,el valor DFA es:2.919892216172358
 Para q = -5.5,el valor DFA es:2.912945921655641
 Para q = -5.0,el valor DFA es:2.905783645461017
 Para q = -4.5,el valor DFA es:2.898541639657356
 Para q = -4.0,el valor DFA es:2.891382437387017
 Para q = -3.5,el valor DFA es:2.8844746793754577
 Para q = -3.0,el valor DFA es:2.8779680631671343
 Para q = -2.5,el valor DFA es:2.8719718268737164
 Para q = -2.0,el valor DFA es:2.8665440951627255
 Para q = -1.5,el valor DFA es:2.8616940417834202
 Para q = -1.0,el valor DFA es:2.857393217269992
 Para q = -0.5,el valor DFA es:2.853590108020708
 Para q = 0.0,el valor DFA es:2.850223176394507
 Para q = 0.5,el valor DFA es:2.847230178742473
 Para q = 1.0,el valor DFA es:2.8445536279170582
 Para q = 1.5,el valor DFA es:2.842143274444032
 Para q = 2.0,el valor DFA es:2.839956673066403
 Para q = 2.5,el valor DFA es:2.837958706246807
 Para q = 3.0,el valor DFA es:2.8361206500637564
 Para q = 3.5,el valor DFA es:2.834419124444193
 Para q = 4.0,el valor DFA es:2.832835101904472
 Para q = 4.5,el valor DFA es:2.8313530474653406
 Para q = 5.0,el valor DFA es:2.8299602072225665
 Para q = 5.5,el valor DFA es:2.828646036459782
 Para q = 6.0,el valor DFA es:2.827401747696557
 Para q = 6.5,el valor DFA es:2.8262199568763506
 Para q = 7.0,el valor DFA es:2.8250944075301057
 Para q = 7.5,el valor DFA es:2.8240197557961624
 Para q = 8.0,el valor DFA es:2.8229914024438925
 Para q = 8.5,el valor DFA es:2.822005361012212
 Para q = 9.0,el valor DFA es:2.821058153655451
 Para q = 9.5,el valor DFA es:2.820146728273959
 Para q = 10.0,el valor DFA es:2.8192683920511556
 El delta Q es: 0.1427617514149646
