
 Para q = -10.0,el valor DFA es:3.1971147194709353
 Para q = -9.5,el valor DFA es:3.192586364966369
 Para q = -9.0,el valor DFA es:3.187566421168883
 Para q = -8.5,el valor DFA es:3.18197175037988
 Para q = -8.0,el valor DFA es:3.1756996083678297
 Para q = -7.5,el valor DFA es:3.1686215576855288
 Para q = -7.0,el valor DFA es:3.1605750245562305
 Para q = -6.5,el valor DFA es:3.1513514590076346
 Para q = -6.0,el valor DFA es:3.140679638587122
 Para q = -5.5,el valor DFA es:3.1282022641514047
 Para q = -5.0,el valor DFA es:3.1134441908412436
 Para q = -4.5,el valor DFA es:3.0957734163449935
 Para q = -4.0,el valor DFA es:3.0743676991690223
 Para q = -3.5,el valor DFA es:3.048238465660859
 Para q = -3.0,el valor DFA es:3.0164675213254384
 Para q = -2.5,el valor DFA es:2.978984780222597
 Para q = -2.0,el valor DFA es:2.9380493622546107
 Para q = -1.5,el valor DFA es:2.898927804306004
 Para q = -1.0,el valor DFA es:2.866938901489749
 Para q = -0.5,el valor DFA es:2.843536886720102
 Para q = 0.0,el valor DFA es:2.826929701800873
 Para q = 0.5,el valor DFA es:2.8147833049674618
 Para q = 1.0,el valor DFA es:2.805424587746099
 Para q = 1.5,el valor DFA es:2.7978479756967563
 Para q = 2.0,el valor DFA es:2.791467346878493
 Para q = 2.5,el valor DFA es:2.7859290723368346
 Para q = 3.0,el valor DFA es:2.7810072577037968
 Para q = 3.5,el valor DFA es:2.7765495107518294
 Para q = 4.0,el valor DFA es:2.772448719410157
 Para q = 4.5,el valor DFA es:2.768627611939797
 Para q = 5.0,el valor DFA es:2.765029690294455
 Para q = 5.5,el valor DFA es:2.7616135045326997
 Para q = 6.0,el valor DFA es:2.7583487987861646
 Para q = 6.5,el valor DFA es:2.7552137761770026
 Para q = 7.0,el valor DFA es:2.752193070488402
 Para q = 7.5,el valor DFA es:2.7492761856551233
 Para q = 8.0,el valor DFA es:2.746456260188535
 Para q = 8.5,el valor DFA es:2.743729070712544
 Para q = 9.0,el valor DFA es:2.741092223524372
 Para q = 9.5,el valor DFA es:2.7385445035094436
 Para q = 10.0,el valor DFA es:2.736085360508106
 El delta Q es: 0.46102935896282915
