
 Para q = -10.0,el valor DFA es:2.99066652242944
 Para q = -9.5,el valor DFA es:2.987102989076451
 Para q = -9.0,el valor DFA es:2.9833207809512814
 Para q = -8.5,el valor DFA es:2.9793108578910066
 Para q = -8.0,el valor DFA es:2.975067479180444
 Para q = -7.5,el valor DFA es:2.9705899603452113
 Para q = -7.0,el valor DFA es:2.9658847991602135
 Para q = -6.5,el valor DFA es:2.9609680078398775
 Para q = -6.0,el valor DFA es:2.9558673017585106
 Para q = -5.5,el valor DFA es:2.9506235833602883
 Para q = -5.0,el valor DFA es:2.9452910123252596
 Para q = -4.5,el valor DFA es:2.939935007814618
 Para q = -4.0,el valor DFA es:2.9346279076317248
 Para q = -3.5,el valor DFA es:2.9294426970731307
 Para q = -3.0,el valor DFA es:2.9244459744898217
 Para q = -2.5,el valor DFA es:2.919691745458659
 Para q = -2.0,el valor DFA es:2.9152174445371797
 Para q = -1.5,el valor DFA es:2.911042837051719
 Para q = -1.0,el valor DFA es:2.9071715462517354
 Para q = -0.5,el valor DFA es:2.9035943154966346
 Para q = 0.0,el valor DFA es:2.900292943566502
 Para q = 0.5,el valor DFA es:2.8972440348196438
 Para q = 1.0,el valor DFA es:2.8944220661858187
 Para q = 1.5,el valor DFA es:2.891801605077523
 Para q = 2.0,el valor DFA es:2.8893587314795206
 Para q = 2.5,el valor DFA es:2.887071820981701
 Para q = 3.0,el valor DFA es:2.88492186783778
 Para q = 3.5,el valor DFA es:2.882892506469033
 Para q = 4.0,el valor DFA es:2.88096985377538
 Para q = 4.5,el valor DFA es:2.8791422585038515
 Para q = 5.0,el valor DFA es:2.8774000141951595
 Para q = 5.5,el valor DFA es:2.8757350702718782
 Para q = 6.0,el valor DFA es:2.874140760756412
 Para q = 6.5,el valor DFA es:2.8726115603233837
 Para q = 7.0,el valor DFA es:2.871142871350506
 Para q = 7.5,el valor DFA es:2.8697308420907737
 Para q = 8.0,el valor DFA es:2.868372214144888
 Para q = 8.5,el valor DFA es:2.867064196453054
 Para q = 9.0,el valor DFA es:2.8658043626517635
 Para q = 9.5,el valor DFA es:2.8645905686051427
 Para q = 10.0,el valor DFA es:2.8634208870705495
 El delta Q es: 0.12724563535889066
