
 Para q = -10.0,el valor DFA es:3.527450660831687
 Para q = -9.5,el valor DFA es:3.5221975374522088
 Para q = -9.0,el valor DFA es:3.516364669015303
 Para q = -8.5,el valor DFA es:3.5098514775999714
 Para q = -8.0,el valor DFA es:3.502532999849247
 Para q = -7.5,el valor DFA es:3.49425208852729
 Para q = -7.0,el valor DFA es:3.484808411824177
 Para q = -6.5,el valor DFA es:3.473942582482269
 Para q = -6.0,el valor DFA es:3.461312660199579
 Para q = -5.5,el valor DFA es:3.446458315346568
 Para q = -5.0,el valor DFA es:3.4287443304976346
 Para q = -4.5,el valor DFA es:3.4072683841209863
 Para q = -4.0,el valor DFA es:3.3807061181505094
 Para q = -3.5,el valor DFA es:3.3470506437369303
 Para q = -3.0,el valor DFA es:3.3032193746568805
 Para q = -2.5,el valor DFA es:3.2447980705345194
 Para q = -2.0,el valor DFA es:3.1679536749195676
 Para q = -1.5,el valor DFA es:3.079822486350924
 Para q = -1.0,el valor DFA es:3.008334238920132
 Para q = -0.5,el valor DFA es:2.9692470969206686
 Para q = 0.0,el valor DFA es:2.950703782457619
 Para q = 0.5,el valor DFA es:2.940730384163948
 Para q = 1.0,el valor DFA es:2.934100118977568
 Para q = 1.5,el valor DFA es:2.9289018174796824
 Para q = 2.0,el valor DFA es:2.9244273879282696
 Para q = 2.5,el valor DFA es:2.9203926112917413
 Para q = 3.0,el valor DFA es:2.9166699479757585
 Para q = 3.5,el valor DFA es:2.9131943597960275
 Para q = 4.0,el valor DFA es:2.909928084561646
 Para q = 4.5,el valor DFA es:2.9068464749619505
 Para q = 5.0,el valor DFA es:2.9039318386765824
 Para q = 5.5,el valor DFA es:2.9011705258739
 Para q = 6.0,el valor DFA es:2.898551428597476
 Para q = 6.5,el valor DFA es:2.896065140021693
 Para q = 7.0,el valor DFA es:2.893703447001938
 Para q = 7.5,el valor DFA es:2.891459005415427
 Para q = 8.0,el valor DFA es:2.889325124222141
 Para q = 8.5,el valor DFA es:2.8872956188909726
 Para q = 9.0,el valor DFA es:2.8853647113946606
 Para q = 9.5,el valor DFA es:2.8835269623799253
 Para q = 10.0,el valor DFA es:2.8817772257497447
 El delta Q es: 0.6456734350819424
