
 Para q = -10.0,el valor DFA es:2.970057072895172
 Para q = -9.5,el valor DFA es:2.9661180792894872
 Para q = -9.0,el valor DFA es:2.9618144419588472
 Para q = -8.5,el valor DFA es:2.957098238935493
 Para q = -8.0,el valor DFA es:2.951914391659708
 Para q = -7.5,el valor DFA es:2.946200016100561
 Para q = -7.0,el valor DFA es:2.9398841881743207
 Para q = -6.5,el valor DFA es:2.9328885975780454
 Para q = -6.0,el valor DFA es:2.925129895654413
 Para q = -5.5,el valor DFA es:2.9165250100540443
 Para q = -5.0,el valor DFA es:2.9070012209454057
 Para q = -4.5,el valor DFA es:2.8965130275888322
 Para q = -4.0,el valor DFA es:2.8850669268581535
 Para q = -3.5,el valor DFA es:2.8727517580327686
 Para q = -3.0,el valor DFA es:2.8597652667976745
 Para q = -2.5,el valor DFA es:2.8464195236703107
 Para q = -2.0,el valor DFA es:2.8331077147264603
 Para q = -1.5,el valor DFA es:2.8202322271081774
 Para q = -1.0,el valor DFA es:2.808122062591918
 Para q = -0.5,el valor DFA es:2.796979354025893
 Para q = 0.0,el valor DFA es:2.7868745668965036
 Para q = 0.5,el valor DFA es:2.7777784684921927
 Para q = 1.0,el valor DFA es:2.769605154781328
 Para q = 1.5,el valor DFA es:2.7622474260259176
 Para q = 2.0,el valor DFA es:2.755598603985269
 Para q = 2.5,el valor DFA es:2.749562867830162
 Para q = 3.0,el valor DFA es:2.744058398363269
 Para q = 3.5,el valor DFA es:2.7390169078527284
 Para q = 4.0,el valor DFA es:2.7343817706002462
 Para q = 4.5,el valor DFA es:2.730105886165986
 Para q = 5.0,el valor DFA es:2.7261497525030225
 Para q = 5.5,el valor DFA es:2.722479891383643
 Para q = 6.0,el valor DFA es:2.719067621362234
 Para q = 6.5,el valor DFA es:2.7158881219004525
 Para q = 7.0,el valor DFA es:2.712919723627911
 Para q = 7.5,el valor DFA es:2.7101433674920417
 Para q = 8.0,el valor DFA es:2.7075421876483894
 Para q = 8.5,el valor DFA es:2.7051011844616366
 Para q = 9.0,el valor DFA es:2.7028069633638427
 Para q = 9.5,el valor DFA es:2.700647522385414
 Para q = 10.0,el valor DFA es:2.6986120762732386
 El delta Q es: 0.2714449966219332
