
 Para q = -10.0,el valor DFA es:3.062216001247779
 Para q = -9.5,el valor DFA es:3.0576254336532727
 Para q = -9.0,el valor DFA es:3.0526145165249914
 Para q = -8.5,el valor DFA es:3.047131342473645
 Para q = -8.0,el valor DFA es:3.041118789712836
 Para q = -7.5,el valor DFA es:3.0345160705556093
 Para q = -7.0,el valor DFA es:3.0272622705836008
 Para q = -6.5,el valor DFA es:3.019303158744353
 Para q = -6.0,el valor DFA es:3.0106028945160213
 Para q = -5.5,el valor DFA es:3.001162069444554
 Para q = -5.0,el valor DFA es:2.9910418320009873
 Para q = -4.5,el valor DFA es:2.980389406014509
 Para q = -4.0,el valor DFA es:2.9694531410156584
 Para q = -3.5,el valor DFA es:2.958569828124749
 Para q = -3.0,el valor DFA es:2.9481131801197615
 Para q = -2.5,el valor DFA es:2.9384152055023662
 Para q = -2.0,el valor DFA es:2.9296962869289875
 Para q = -1.5,el valor DFA es:2.9220380216021313
 Para q = -1.0,el valor DFA es:2.915403476477937
 Para q = -0.5,el valor DFA es:2.909682387843433
 Para q = 0.0,el valor DFA es:2.9047354534750665
 Para q = 0.5,el valor DFA es:2.900424536834688
 Para q = 1.0,el valor DFA es:2.8966279290624937
 Para q = 1.5,el valor DFA es:2.893245208379066
 Para q = 2.0,el valor DFA es:2.890196525711876
 Para q = 2.5,el valor DFA es:2.887419622117062
 Para q = 3.0,el valor DFA es:2.8848663672187853
 Para q = 3.5,el valor DFA es:2.8824996070690783
 Para q = 4.0,el valor DFA es:2.880290572364476
 Para q = 4.5,el valor DFA es:2.878216853229648
 Para q = 5.0,el valor DFA es:2.8762608570459456
 Para q = 5.5,el valor DFA es:2.8744086477154784
 Para q = 6.0,el valor DFA es:2.872649074846074
 Para q = 6.5,el valor DFA es:2.870973119371916
 Para q = 7.0,el valor DFA es:2.869373399780342
 Para q = 7.5,el valor DFA es:2.867843797676592
 Para q = 8.0,el valor DFA es:2.866379172525806
 Para q = 8.5,el valor DFA es:2.864975143551111
 Para q = 9.0,el valor DFA es:2.8636279226143895
 Para q = 9.5,el valor DFA es:2.8623341860798592
 Para q = 10.0,el valor DFA es:2.8610909766478785
 El delta Q es: 0.20112502459990056
