
 Para q = -10.0,el valor DFA es:3.823377246495761
 Para q = -9.5,el valor DFA es:3.8182786693352373
 Para q = -9.0,el valor DFA es:3.812695375563777
 Para q = -8.5,el valor DFA es:3.806550437504916
 Para q = -8.0,el valor DFA es:3.799749299920606
 Para q = -7.5,el valor DFA es:3.792174653126804
 Para q = -7.0,el valor DFA es:3.783679639850976
 Para q = -6.5,el valor DFA es:3.7740789331120785
 Para q = -6.0,el valor DFA es:3.7631373100003476
 Para q = -5.5,el valor DFA es:3.7505558889260273
 Para q = -5.0,el valor DFA es:3.735957991481452
 Para q = -4.5,el valor DFA es:3.718881517736381
 Para q = -4.0,el valor DFA es:3.6987966653040165
 Para q = -3.5,el valor DFA es:3.6751922410904485
 Para q = -3.0,el valor DFA es:3.647807278198803
 Para q = -2.5,el valor DFA es:3.6170715164776484
 Para q = -2.0,el valor DFA es:3.5845940111413883
 Para q = -1.5,el valor DFA es:3.5530728347658425
 Para q = -1.0,el valor DFA es:3.525132498002072
 Para q = -0.5,el valor DFA es:3.5020066727792027
 Para q = 0.0,el valor DFA es:3.483424675542731
 Para q = 0.5,el valor DFA es:3.468412719026767
 Para q = 1.0,el valor DFA es:3.45597950592556
 Para q = 1.5,el valor DFA es:3.4453721965828104
 Para q = 2.0,el valor DFA es:3.436082765496351
 Para q = 2.5,el valor DFA es:3.427782746874916
 Para q = 3.0,el valor DFA es:3.4202601448600154
 Para q = 3.5,el valor DFA es:3.413374891268817
 Para q = 4.0,el valor DFA es:3.4070306975010807
 Para q = 4.5,el valor DFA es:3.401158040605994
 Para q = 5.0,el valor DFA es:3.3957040421293447
 Para q = 5.5,el valor DFA es:3.3906264664265424
 Para q = 6.0,el valor DFA es:3.3858901534735835
 Para q = 6.5,el valor DFA es:3.3814648869688844
 Para q = 7.0,el valor DFA es:3.3773241074241516
 Para q = 7.5,el valor DFA es:3.3734441207067527
 Para q = 8.0,el valor DFA es:3.369803594967539
 Para q = 8.5,el valor DFA es:3.366383223928044
 Para q = 9.0,el valor DFA es:3.3631654854853066
 Para q = 9.5,el valor DFA es:3.360134455059904
 Para q = 10.0,el valor DFA es:3.3572756511075714
 El delta Q es: 0.4661015953881895
