
 Para q = -10.0,el valor DFA es:3.2204305672121762
 Para q = -9.5,el valor DFA es:3.2159289400988764
 Para q = -9.0,el valor DFA es:3.2109309774906496
 Para q = -8.5,el valor DFA es:3.205350838102898
 Para q = -8.0,el valor DFA es:3.1990820444157935
 Para q = -7.5,el valor DFA es:3.191991022492539
 Para q = -7.0,el valor DFA es:3.1839081176212805
 Para q = -6.5,el valor DFA es:3.1746149058408766
 Para q = -6.0,el valor DFA es:3.163826010484525
 Para q = -5.5,el valor DFA es:3.151162750283539
 Para q = -5.0,el valor DFA es:3.13611488648564
 Para q = -4.5,el valor DFA es:3.11798637883333
 Para q = -4.0,el valor DFA es:3.0958254437209707
 Para q = -3.5,el valor DFA es:3.0683637802071715
 Para q = -3.0,el valor DFA es:3.0340848932167424
 Para q = -2.5,el valor DFA es:2.9918178117022163
 Para q = -2.0,el valor DFA es:2.9426170461131598
 Para q = -1.5,el valor DFA es:2.8923745791822006
 Para q = -1.0,el valor DFA es:2.8498110591380685
 Para q = -0.5,el valor DFA es:2.8188146401680454
 Para q = 0.0,el valor DFA es:2.797095759895085
 Para q = 0.5,el valor DFA es:2.781028837732606
 Para q = 1.0,el valor DFA es:2.7681514478148213
 Para q = 1.5,el valor DFA es:2.75715877111026
 Para q = 2.0,el valor DFA es:2.7474190116740265
 Para q = 2.5,el valor DFA es:2.738634190285237
 Para q = 3.0,el valor DFA es:2.730658979277117
 Para q = 3.5,el valor DFA es:2.723411631492022
 Para q = 4.0,el valor DFA es:2.7168328401240567
 Para q = 4.5,el valor DFA es:2.7108688075183385
 Para q = 5.0,el valor DFA es:2.70546596794134
 Para q = 5.5,el valor DFA es:2.7005707116262547
 Para q = 6.0,el valor DFA es:2.69613074505692
 Para q = 6.5,el valor DFA es:2.6920965684681906
 Para q = 7.0,el valor DFA es:2.688422527826554
 Para q = 7.5,el valor DFA es:2.685067357744729
 Para q = 8.0,el valor DFA es:2.6819943083715096
 Para q = 8.5,el valor DFA es:2.679170989262301
 Para q = 9.0,el valor DFA es:2.6765690478677464
 Para q = 9.5,el valor DFA es:2.6741637694774782
 Para q = 10.0,el valor DFA es:2.6719336559458435
 El delta Q es: 0.5484969112663327
