
 Para q = -10.0,el valor DFA es:3.3515603779215715
 Para q = -9.5,el valor DFA es:3.346419027199244
 Para q = -9.0,el valor DFA es:3.3407505932174515
 Para q = -8.5,el valor DFA es:3.3344730544962577
 Para q = -8.0,el valor DFA es:3.3274886954246736
 Para q = -7.5,el valor DFA es:3.3196816509644465
 Para q = -7.0,el valor DFA es:3.310916229589752
 Para q = -6.5,el valor DFA es:3.3010376490320814
 Para q = -6.0,el valor DFA es:3.289878516630382
 Para q = -5.5,el valor DFA es:3.277277240000456
 Para q = -5.0,el valor DFA es:3.2631182838615924
 Para q = -4.5,el valor DFA es:3.2474057579030218
 Para q = -4.0,el valor DFA es:3.230371389119705
 Para q = -3.5,el valor DFA es:3.2125790908924854
 Para q = -3.0,el valor DFA es:3.194925609029663
 Para q = -2.5,el valor DFA es:3.1784334655458246
 Para q = -2.0,el valor DFA es:3.1638963762099017
 Para q = -1.5,el valor DFA es:3.151632622425889
 Para q = -1.0,el valor DFA es:3.141516194928374
 Para q = -0.5,el valor DFA es:3.133183694815806
 Para q = 0.0,el valor DFA es:3.126228339473268
 Para q = 0.5,el valor DFA es:3.1203014428603937
 Para q = 1.0,el valor DFA es:3.1151392327918765
 Para q = 1.5,el valor DFA es:3.110554113623032
 Para q = 2.0,el valor DFA es:3.1064160585909715
 Para q = 2.5,el valor DFA es:3.1026351686824363
 Para q = 3.0,el valor DFA es:3.0991484339798125
 Para q = 3.5,el valor DFA es:3.095910579702931
 Para q = 4.0,el valor DFA es:3.092888028634707
 Para q = 4.5,el valor DFA es:3.0900550122318293
 Para q = 5.0,el valor DFA es:3.087391088828731
 Para q = 5.5,el valor DFA es:3.084879557950207
 Para q = 6.0,el valor DFA es:3.0825064370733206
 Para q = 6.5,el valor DFA es:3.0802597893721337
 Para q = 7.0,el valor DFA es:3.078129270683094
 Para q = 7.5,el valor DFA es:3.076105814356202
 Para q = 8.0,el valor DFA es:3.074181403999666
 Para q = 8.5,el valor DFA es:3.072348903402173
 Para q = 9.0,el valor DFA es:3.0706019246975598
 Para q = 9.5,el valor DFA es:3.0689347230088844
 Para q = 10.0,el valor DFA es:3.067342110165881
 El delta Q es: 0.2842182677556906
