
 Para q = -10.0,el valor DFA es:2.45529484447957
 Para q = -9.5,el valor DFA es:2.4527057411916733
 Para q = -9.0,el valor DFA es:2.4498428944748234
 Para q = -8.5,el valor DFA es:2.4466633723003093
 Para q = -8.0,el valor DFA es:2.443115643882359
 Para q = -7.5,el valor DFA es:2.439137583350876
 Para q = -7.0,el valor DFA es:2.4346539793581
 Para q = -6.5,el valor DFA es:2.4295734369766704
 Para q = -6.0,el valor DFA es:2.423784550290701
 Para q = -5.5,el valor DFA es:2.417151248551585
 Para q = -5.0,el valor DFA es:2.4095073437249335
 Para q = -4.5,el valor DFA es:2.400650718724553
 Para q = -4.0,el valor DFA es:2.3903387692607567
 Para q = -3.5,el valor DFA es:2.3782897334363224
 Para q = -3.0,el valor DFA es:2.3642013807688773
 Para q = -2.5,el valor DFA es:2.347810833549251
 Para q = -2.0,el valor DFA es:2.3290309244993765
 Para q = -1.5,el valor DFA es:2.3081765542083414
 Para q = -1.0,el valor DFA es:2.286178575382184
 Para q = -0.5,el valor DFA es:2.264516414896619
 Para q = 0.0,el valor DFA es:2.2447095609644396
 Para q = 0.5,el valor DFA es:2.2277132468011542
 Para q = 1.0,el valor DFA es:2.2137316052063416
 Para q = 1.5,el valor DFA es:2.202456389454419
 Para q = 2.0,el valor DFA es:2.1933889832414466
 Para q = 2.5,el valor DFA es:2.1860404753998384
 Para q = 3.0,el valor DFA es:2.1800071953115174
 Para q = 3.5,el valor DFA es:2.174979704890101
 Para q = 4.0,el valor DFA es:2.1707279155303882
 Para q = 4.5,el valor DFA es:2.1670821240790645
 Para q = 5.0,el valor DFA es:2.163916698730468
 Para q = 5.5,el valor DFA es:2.1611377070148694
 Para q = 6.0,el valor DFA es:2.1586740042653956
 Para q = 6.5,el valor DFA es:2.156470942062246
 Para q = 7.0,el valor DFA es:2.1544859455587275
 Para q = 7.5,el valor DFA es:2.152685391430437
 Para q = 8.0,el valor DFA es:2.1510423840895814
 Para q = 8.5,el valor DFA es:2.1495351533005507
 Para q = 9.0,el valor DFA es:2.148145884683651
 Para q = 9.5,el valor DFA es:2.146859854842062
 Para q = 10.0,el valor DFA es:2.1456647833970797
 El delta Q es: 0.30963006108249047
