
 Para q = -10.0,el valor DFA es:2.4832682469460936
 Para q = -9.5,el valor DFA es:2.4809466151278614
 Para q = -9.0,el valor DFA es:2.478398800975808
 Para q = -8.5,el valor DFA es:2.4755900967877045
 Para q = -8.0,el valor DFA es:2.472478242349105
 Para q = -7.5,el valor DFA es:2.4690112525089494
 Para q = -7.0,el valor DFA es:2.4651244623028252
 Para q = -6.5,el valor DFA es:2.460736459212006
 Para q = -6.0,el valor DFA es:2.455743428774101
 Para q = -5.5,el valor DFA es:2.4500112577786872
 Para q = -5.0,el valor DFA es:2.4433645649891984
 Para q = -4.5,el valor DFA es:2.4355718501724675
 Para q = -4.0,el valor DFA es:2.4263267578406778
 Para q = -3.5,el valor DFA es:2.4152286708517203
 Para q = -3.0,el valor DFA es:2.4017754010325905
 Para q = -2.5,el valor DFA es:2.385403841278277
 Para q = -2.0,el valor DFA es:2.365654782321282
 Para q = -1.5,el valor DFA es:2.3425554145737366
 Para q = -1.0,el valor DFA es:2.3171449277660354
 Para q = -0.5,el valor DFA es:2.2916007099053286
 Para q = 0.0,el valor DFA es:2.2683653389104848
 Para q = 0.5,el valor DFA es:2.248898448318762
 Para q = 1.0,el valor DFA es:2.2333451373286177
 Para q = 1.5,el valor DFA es:2.2210946695495166
 Para q = 2.0,el valor DFA es:2.211376116250284
 Para q = 2.5,el valor DFA es:2.203535106325413
 Para q = 3.0,el valor DFA es:2.197087763397112
 Para q = 3.5,el valor DFA es:2.1916926882350256
 Para q = 4.0,el valor DFA es:2.1871100159338295
 Para q = 4.5,el valor DFA es:2.1831684231920607
 Para q = 5.0,el valor DFA es:2.1797424662538503
 Para q = 5.5,el valor DFA es:2.1767378614416444
 Para q = 6.0,el valor DFA es:2.174082035590707
 Para q = 6.5,el valor DFA es:2.171717988773767
 Para q = 7.0,el valor DFA es:2.1696002103416623
 Para q = 7.5,el valor DFA es:2.167691878507291
 Para q = 8.0,el valor DFA es:2.165962879816187
 Para q = 8.5,el valor DFA es:2.164388367751903
 Para q = 9.0,el valor DFA es:2.1629476873368008
 Para q = 9.5,el valor DFA es:2.1616235560718846
 Para q = 10.0,el valor DFA es:2.160401429570946
 El delta Q es: 0.32286681737514744
