
 Para q = -10.0,el valor DFA es:3.2378999857350554
 Para q = -9.5,el valor DFA es:3.2327075611299727
 Para q = -9.0,el valor DFA es:3.226965564961698
 Para q = -8.5,el valor DFA es:3.220589368514224
 Para q = -8.0,el valor DFA es:3.213479002965904
 Para q = -7.5,el valor DFA es:3.205516904655521
 Para q = -7.0,el valor DFA es:3.1965661421173457
 Para q = -6.5,el valor DFA es:3.186470100045762
 Para q = -6.0,el valor DFA es:3.1750555114646226
 Para q = -5.5,el valor DFA es:3.162142289062747
 Para q = -5.0,el valor DFA es:3.1475659396762397
 Para q = -4.5,el valor DFA es:3.131220838873123
 Para q = -4.0,el valor DFA es:3.1131322276898747
 Para q = -3.5,el valor DFA es:3.0935534193624985
 Para q = -3.0,el valor DFA es:3.073051736426593
 Para q = -2.5,el valor DFA es:3.0525013763290767
 Para q = -2.0,el valor DFA es:3.0329077270697034
 Para q = -1.5,el valor DFA es:3.0151122910957673
 Para q = -1.0,el valor DFA es:2.9995675926290084
 Para q = -0.5,el valor DFA es:2.986319692668242
 Para q = 0.0,el valor DFA es:2.9751466021742883
 Para q = 0.5,el valor DFA es:2.965718175489819
 Para q = 1.0,el valor DFA es:2.9577015938987175
 Para q = 1.5,el valor DFA es:2.950808698572099
 Para q = 2.0,el valor DFA es:2.9448076312520484
 Para q = 2.5,el valor DFA es:2.9395184575782225
 Para q = 3.0,el valor DFA es:2.9348037627906782
 Para q = 3.5,el valor DFA es:2.9305590427305326
 Para q = 4.0,el valor DFA es:2.9267045555479774
 Para q = 4.5,el valor DFA es:2.923178943103009
 Para q = 5.0,el valor DFA es:2.919934435926439
 Para q = 5.5,el valor DFA es:2.9169333256703225
 Para q = 6.0,el valor DFA es:2.9141453981382432
 Para q = 6.5,el valor DFA es:2.9115460727262037
 Para q = 7.0,el valor DFA es:2.9091150526020813
 Para q = 7.5,el valor DFA es:2.9068353408983327
 Para q = 8.0,el valor DFA es:2.9046925183662777
 Para q = 8.5,el valor DFA es:2.9026742079881993
 Para q = 9.0,el valor DFA es:2.90076967382461
 Para q = 9.5,el valor DFA es:2.8989695168654435
 Para q = 10.0,el valor DFA es:2.897265441552616
 El delta Q es: 0.34063454418243966
