
 Para q = -10.0,el valor DFA es:2.4175722673490547
 Para q = -9.5,el valor DFA es:2.4149616295335203
 Para q = -9.0,el valor DFA es:2.4120695168704858
 Para q = -8.5,el valor DFA es:2.408850314153282
 Para q = -8.0,el valor DFA es:2.4052489817637683
 Para q = -7.5,el valor DFA es:2.4011989185731446
 Para q = -7.0,el valor DFA es:2.39661944159983
 Para q = -6.5,el valor DFA es:2.3914129698280977
 Para q = -6.0,el valor DFA es:2.385462218240102
 Para q = -5.5,el valor DFA es:2.3786281719634923
 Para q = -5.0,el valor DFA es:2.3707505335258707
 Para q = -4.5,el valor DFA es:2.3616540305241354
 Para q = -4.0,el valor DFA es:2.351166672396378
 Para q = -3.5,el valor DFA es:2.3391591243195893
 Para q = -3.0,el valor DFA es:2.3256142069798593
 Para q = -2.5,el valor DFA es:2.310722717291613
 Para q = -2.0,el valor DFA es:2.29496554614084
 Para q = -1.5,el valor DFA es:2.2790984759082598
 Para q = -1.0,el valor DFA es:2.263977491695034
 Para q = -0.5,el valor DFA es:2.25029511066721
 Para q = 0.0,el valor DFA es:2.2384059262389004
 Para q = 0.5,el valor DFA es:2.2283355813454984
 Para q = 1.0,el valor DFA es:2.2199043451842027
 Para q = 1.5,el valor DFA es:2.2128538627856367
 Para q = 2.0,el valor DFA es:2.2069258313647664
 Para q = 2.5,el valor DFA es:2.2018957843729225
 Para q = 3.0,el valor DFA es:2.197580934955338
 Para q = 3.5,el valor DFA es:2.1938368907970043
 Para q = 4.0,el valor DFA es:2.1905510541772046
 Para q = 4.5,el valor DFA es:2.1876359627142214
 Para q = 5.0,el valor DFA es:2.1850236212741727
 Para q = 5.5,el valor DFA es:2.182660987943969
 Para q = 6.0,el valor DFA es:2.180506481449796
 Para q = 6.5,el valor DFA es:2.178527312592371
 Para q = 7.0,el valor DFA es:2.1766974552142653
 Para q = 7.5,el valor DFA es:2.1749961050072515
 Para q = 8.0,el valor DFA es:2.1734065075382656
 Para q = 8.5,el valor DFA es:2.171915064794152
 Para q = 9.0,el valor DFA es:2.170510651657103
 Para q = 9.5,el valor DFA es:2.1691840907509703
 Para q = 10.0,el valor DFA es:2.167927747026847
 El delta Q es: 0.24964452032220752
