
 Para q = -10.0,el valor DFA es:3.105235300738315
 Para q = -9.5,el valor DFA es:3.1007362963816174
 Para q = -9.0,el valor DFA es:3.0957983305199983
 Para q = -8.5,el valor DFA es:3.090354021006635
 Para q = -8.0,el valor DFA es:3.0843227507988398
 Para q = -7.5,el valor DFA es:3.0776083701311023
 Para q = -7.0,el valor DFA es:3.070097318234599
 Para q = -6.5,el valor DFA es:3.06165830712269
 Para q = -6.0,el valor DFA es:3.0521459280536827
 Para q = -5.5,el valor DFA es:3.0414126342709094
 Para q = -5.0,el valor DFA es:3.0293364997663557
 Para q = -4.5,el valor DFA es:3.0158743533726438
 Para q = -4.0,el valor DFA es:3.001145433676061
 Para q = -3.5,el valor DFA es:2.9855277138282483
 Para q = -3.0,el valor DFA es:2.9697020516976806
 Para q = -2.5,el valor DFA es:2.9545493295687724
 Para q = -2.0,el valor DFA es:2.9408850430499607
 Para q = -1.5,el valor DFA es:2.929188689996692
 Para q = -1.0,el valor DFA es:2.9195234624074335
 Para q = -0.5,el valor DFA es:2.911656773987376
 Para q = 0.0,el valor DFA es:2.90523889757301
 Para q = 0.5,el valor DFA es:2.899928217701288
 Para q = 1.0,el valor DFA es:2.8954447494968405
 Para q = 1.5,el valor DFA es:2.891578263957738
 Para q = 2.0,el valor DFA es:2.8881775952309177
 Para q = 2.5,el valor DFA es:2.885135912692406
 Para q = 3.0,el valor DFA es:2.8823777818134055
 Para q = 3.5,el valor DFA es:2.8798494020835608
 Para q = 4.0,el valor DFA es:2.8775117422835295
 Para q = 4.5,el valor DFA es:2.875335876894775
 Para q = 5.0,el valor DFA es:2.873299865131247
 Para q = 5.5,el valor DFA es:2.871386668342317
 Para q = 6.0,el valor DFA es:2.8695827527521494
 Para q = 6.5,el valor DFA es:2.8678771413071713
 Para q = 7.0,el valor DFA es:2.8662607602546304
 Para q = 7.5,el valor DFA es:2.864725980666396
 Para q = 8.0,el valor DFA es:2.8632662905638964
 Para q = 8.5,el valor DFA es:2.8618760559839727
 Para q = 9.0,el valor DFA es:2.860550343757601
 Para q = 9.5,el valor DFA es:2.859284787957979
 Para q = 10.0,el valor DFA es:2.858075487851217
 El delta Q es: 0.24715981288709798
