
 Para q = -10.0,el valor DFA es:3.4466149805852515
 Para q = -9.5,el valor DFA es:3.4421177272414076
 Para q = -9.0,el valor DFA es:3.4371434455851535
 Para q = -8.5,el valor DFA es:3.4316161616459295
 Para q = -8.0,el valor DFA es:3.4254440142338316
 Para q = -7.5,el valor DFA es:3.4185151968256062
 Para q = -7.0,el valor DFA es:3.4106926824372787
 Para q = -6.5,el valor DFA es:3.40180731553873
 Para q = -6.0,el valor DFA es:3.39164871253804
 Para q = -5.5,el valor DFA es:3.3799532722318135
 Para q = -5.0,el valor DFA es:3.366388622738676
 Para q = -4.5,el valor DFA es:3.3505346119862724
 Para q = -4.0,el valor DFA es:3.3318643436109565
 Para q = -3.5,el valor DFA es:3.309739907881851
 Para q = -3.0,el valor DFA es:3.2834677914976216
 Para q = -2.5,el valor DFA es:3.2525213226334095
 Para q = -2.0,el valor DFA es:3.2170891365601952
 Para q = -1.5,el valor DFA es:3.178884903464199
 Para q = -1.0,el valor DFA es:3.1413323507300346
 Para q = -0.5,el valor DFA es:3.1080217451876644
 Para q = 0.0,el valor DFA es:3.080662175578985
 Para q = 0.5,el valor DFA es:3.0588904868153985
 Para q = 1.0,el valor DFA es:3.0414636056744033
 Para q = 1.5,el valor DFA es:3.027176919771115
 Para q = 2.0,el valor DFA es:3.0151465721055017
 Para q = 2.5,el valor DFA es:3.004783709851124
 Para q = 3.0,el valor DFA es:2.995703088750924
 Para q = 3.5,el valor DFA es:2.987646988968522
 Para q = 4.0,el valor DFA es:2.9804355880814146
 Para q = 4.5,el valor DFA es:2.9739372531746238
 Para q = 5.0,el valor DFA es:2.9680512102102727
 Para q = 5.5,el valor DFA es:2.9626973710928306
 Para q = 6.0,el valor DFA es:2.9578102061967924
 Para q = 6.5,el valor DFA es:2.953334913600539
 Para q = 7.0,el valor DFA es:2.949224920478622
 Para q = 7.5,el valor DFA es:2.9454401813704956
 Para q = 8.0,el valor DFA es:2.9419459697378514
 Para q = 8.5,el valor DFA es:2.9387119854853174
 Para q = 9.0,el valor DFA es:2.9357116716807545
 Para q = 9.5,el valor DFA es:2.932921674434712
 Para q = 10.0,el valor DFA es:2.930321404144191
 El delta Q es: 0.5162935764410603
