
 Para q = -10.0,el valor DFA es:3.483410169296995
 Para q = -9.5,el valor DFA es:3.4781489908333976
 Para q = -9.0,el valor DFA es:3.4723044812098944
 Para q = -8.5,el valor DFA es:3.465774563952285
 Para q = -8.0,el valor DFA es:3.4584322623635684
 Para q = -7.5,el valor DFA es:3.450117860544103
 Para q = -7.0,el valor DFA es:3.440628067374479
 Para q = -6.5,el valor DFA es:3.4297008772971025
 Para q = -6.0,el valor DFA es:3.4169942430518154
 Para q = -5.5,el valor DFA es:3.4020559502093124
 Para q = -5.0,el valor DFA es:3.384281516575642
 Para q = -4.5,el valor DFA es:3.3628579712900506
 Para q = -4.0,el valor DFA es:3.33669964405225
 Para q = -3.5,el valor DFA es:3.304417771585776
 Para q = -3.0,el valor DFA es:3.2644906540006415
 Para q = -2.5,el valor DFA es:3.216128127189587
 Para q = -2.0,el valor DFA es:3.1615726076519732
 Para q = -1.5,el valor DFA es:3.108383232940952
 Para q = -1.0,el valor DFA es:3.0655099013014757
 Para q = -0.5,el valor DFA es:3.035464933954067
 Para q = 0.0,el valor DFA es:3.0150640585949713
 Para q = 0.5,el valor DFA es:3.0005444895613933
 Para q = 1.0,el valor DFA es:2.9894461677846804
 Para q = 1.5,el valor DFA es:2.980396132284594
 Para q = 2.0,el valor DFA es:2.972645016294471
 Para q = 2.5,el valor DFA es:2.9657745575572187
 Para q = 3.0,el valor DFA es:2.959543886009628
 Para q = 3.5,el valor DFA es:2.953810162888483
 Para q = 4.0,el valor DFA es:2.9484862521103254
 Para q = 4.5,el valor DFA es:2.94351716318977
 Para q = 5.0,el valor DFA es:2.9388664701587657
 Para q = 5.5,el valor DFA es:2.9345083189880907
 Para q = 6.0,el valor DFA es:2.9304227121411555
 Para q = 6.5,el valor DFA es:2.9265927758978574
 Para q = 7.0,el valor DFA es:2.923003242418711
 Para q = 7.5,el valor DFA es:2.9196396700292726
 Para q = 8.0,el valor DFA es:2.916488098848592
 Para q = 8.5,el valor DFA es:2.91353494893641
 Para q = 9.0,el valor DFA es:2.910767040553463
 Para q = 9.5,el valor DFA es:2.908171664258226
 Para q = 10.0,el valor DFA es:2.9057366601243992
 El delta Q es: 0.577673509172596
