# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	1450	4413	+							CGSHiEE_00010	2964		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	1450	4413	+	ABQ97504.1			hemoglobin-haptoglobin binding protein B			CGSHiEE_00010	2964	987	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	6964	8235	+							CGSHiEE_00035	1272		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	6964	8235	+	ABQ97505.1			peptidase E			CGSHiEE_00035	1272	423	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	8329	10302	+							CGSHiEE_00040	1974		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	8329	10302	+	ABQ97506.1			2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase bifunctional periplasmic precursor protein			CGSHiEE_00040	1974	657	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	10568	11047	-					cpdB		CGSHiEE_00045	480		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	10568	11047	-	ABQ97507.1			bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic precursor protein	cpdB		CGSHiEE_00045	480	159	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	11499	13388	+							CGSHiEE_00050	1890		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	11499	13388	+	ABQ97508.1			tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA			CGSHiEE_00050	1890	629	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	13570	13944	+					rpsL		CGSHiEE_00055	375		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	13570	13944	+	ABQ97509.1			30S ribosomal protein S12	rpsL		CGSHiEE_00055	375	124	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	14102	14572	+							CGSHiEE_00060	471		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	14102	14572	+	ABQ97510.1			30S ribosomal protein S7			CGSHiEE_00060	471	156	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	14656	16758	+							CGSHiEE_00065	2103		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	14656	16758	+	ABQ97511.1			elongation factor EF-2			CGSHiEE_00065	2103	700	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	16823	18007	+							CGSHiEE_00070	1185		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	16823	18007	+	ABQ97512.1			elongation factor Tu			CGSHiEE_00070	1185	394	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18137	18424	-							CGSHiEE_00075	288		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18137	18424	-	ABQ97513.1			elongation factor G			CGSHiEE_00075	288	95	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18433	18792	-							CGSHiEE_00080	360		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18433	18792	-	ABQ97514.1			hypothetical protein			CGSHiEE_00080	360	119	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18789	19169	-							CGSHiEE_00085	381		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	18789	19169	-	ABQ97515.1			hypothetical protein			CGSHiEE_00085	381	126	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	19169	19834	-							CGSHiEE_00090	666		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	19169	19834	-	ABQ97516.1			hypothetical protein			CGSHiEE_00090	666	221	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	19924	20649	-							CGSHiEE_00095	726		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	19924	20649	-	ABQ97517.1			hypothetical protein			CGSHiEE_00095	726	241	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	20747	20968	+							CGSHiEE_00100	222		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	20747	20968	+	ABQ97518.1			hypothetical protein			CGSHiEE_00100	222	73	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	21060	21785	-							CGSHiEE_00105	726		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	21060	21785	-	ABQ97519.1			hypothetical protein			CGSHiEE_00105	726	241	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	21909	22814	+							CGSHiEE_00110	906		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	21909	22814	+	ABQ97520.1			DNA-binding transcriptional regulator OxyR			CGSHiEE_00110	906	301	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	22814	23431	+							CGSHiEE_00115	618		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	22814	23431	+	ABQ97521.1			DNA-binding transcriptional repressor FabR			CGSHiEE_00115	618	205	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	23501	23977	-							CGSHiEE_00120	477		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	23501	23977	-	ABQ97522.1			transcription elongation factor GreB			CGSHiEE_00120	477	158	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	24073	26385	+					greB		CGSHiEE_00125	2313		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	24073	26385	+	ABQ97523.1			transcription elongation factor GreB	greB		CGSHiEE_00125	2313	770	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	26511	28931	+					gyrB		CGSHiEE_00130	2421		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	26511	28931	+	ABQ97524.1			DNA gyrase subunit B	gyrB		CGSHiEE_00130	2421	806	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	29078	29752	+							CGSHiEE_00135	675		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	29078	29752	+	ABQ97525.1			ribulose-phosphate 3-epimerase			CGSHiEE_00135	675	224	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	29798	30472	+							CGSHiEE_00140	675		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	29798	30472	+	ABQ97526.1			phosphoglycolate phosphatase			CGSHiEE_00140	675	224	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	30563	30916	+							CGSHiEE_00145	354		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	30563	30916	+	ABQ97527.1			transposase			CGSHiEE_00145	354	117	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31084	31200	+							CGSHiEE_00150	117		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31084	31200	+	ABQ97528.1			hypothetical protein			CGSHiEE_00150	117	38	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31113	31352	+							CGSHiEE_00155	240		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31113	31352	+	ABQ97529.1			ribulose-phosphate 3-epimerase			CGSHiEE_00155	240	79	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31415	32407	-							CGSHiEE_00160	993		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	31415	32407	-	ABQ97530.1			asparagine synthetase AsnA			CGSHiEE_00160	993	330	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	32561	33013	+							CGSHiEE_00165	453		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	32561	33013	+	ABQ97531.1			regulatory protein AsnC			CGSHiEE_00165	453	150	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	33039	33434	-							CGSHiEE_00170	396		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	33039	33434	-	ABQ97532.1			hypothetical protein			CGSHiEE_00170	396	131	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	33666	35654	+							CGSHiEE_00175	1989		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	33666	35654	+	ABQ97533.1			predicted membrane protein			CGSHiEE_00175	1989	662	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	35707	36123	+							CGSHiEE_00180	417		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	35707	36123	+	ABQ97534.1			hypothetical protein			CGSHiEE_00180	417	138	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	36128	36937	+							CGSHiEE_00185	810		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	36128	36937	+	ABQ97535.1			DNA-binding transcriptional regulator AsnC			CGSHiEE_00185	810	269	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	37013	38497	+							CGSHiEE_00190	1485		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	37013	38497	+	ABQ97536.1			glucose-6-phosphate 1-dehydrogenase			CGSHiEE_00190	1485	494	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	38582	39280	+							CGSHiEE_00195	699		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	38582	39280	+	ABQ97537.1			6-phosphogluconolactonase			CGSHiEE_00195	699	232	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	39291	39737	+							CGSHiEE_00200	447		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	39291	39737	+	ABQ97538.1			virulence-associated protein D			CGSHiEE_00200	447	148	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	39885	40667	+							CGSHiEE_00205	783		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	39885	40667	+	ABQ97539.1			glucose-6-phosphate 1-dehydrogenase			CGSHiEE_00205	783	260	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	40687	42141	+							CGSHiEE_00210	1455		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	40687	42141	+	ABQ97540.1			6-phosphogluconate dehydrogenase			CGSHiEE_00210	1455	484	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	42267	42890	-							CGSHiEE_00215	624		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	42267	42890	-	ABQ97541.1			6-phosphogluconate dehydrogenase			CGSHiEE_00215	624	207	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	42900	43727	-							CGSHiEE_00220	828		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	42900	43727	-	ABQ97542.1			diadenosinetetraphosphatase			CGSHiEE_00220	828	275	
gene	protein_coding	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	43846	44754	+					apaH		CGSHiEE_00225	909		
CDS	with_protein	GCA_000016465.1	Primary Assembly	chromosome		CP000671.1	43846	44754	+	ABQ97543.1			diadenosine tetraphosphatase	apaH		CGSHiEE_00225	909	302	
