# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	3747	3909	-					Y74C9A.6	353377	CELE_Y74C9A.6	163		
ncRNA	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	3747	3909	-	NR_001477.2			small nucleolar RNA Y74C9A.6	Y74C9A.6	353377	CELE_Y74C9A.6	163	163	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	4118	10629	-					homt-1	171590	CELE_Y74C9A.3	6512		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	4118	10629	-	NM_058260.7		NP_490660.1	Alpha N-terminal protein methyltransferase 1	homt-1	171590	CELE_Y74C9A.3	990	990	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	4221	10148	-	NP_490660.1		NM_058260.7	Alpha N-terminal protein methyltransferase 1	homt-1	171590	CELE_Y74C9A.3	705	234	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	11495	16837	+					nlp-40	171591	CELE_Y74C9A.2	5343		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	11495	16837	+	NM_058259.5		NP_490661.1	Peptide P4	nlp-40	171591	CELE_Y74C9A.2	714	714	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	11641	16585	+	NP_490661.1		NM_058259.5	Peptide P4	nlp-40	171591	CELE_Y74C9A.2	372	123	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	15103	16585	+	NM_001306277.3		NP_001293206.1	Peptide P4	nlp-40	171591	CELE_Y74C9A.2	171	171	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	15103	16585	+	NP_001293206.1		NM_001306277.3	Peptide P4	nlp-40	171591	CELE_Y74C9A.2	171	56	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17449	26781	-					rcor-1	171592	CELE_Y74C9A.4	9333		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17449	26781	-	NM_058262.6		NP_490663.1	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	2151	2151	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17487	26781	-	NM_058261.5		NP_490662.1	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	2122	2122	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17911	26778	-	NP_490663.1		NM_058262.6	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	1686	561	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17911	26778	-	NP_490662.1		NM_058261.5	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	1695	564	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17911	26643	-	NM_001306278.3		NP_001293207.1	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	1602	1602	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17911	26643	-	NP_001293207.1		NM_001306278.3	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	1602	533	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	I	NC_003279.8	17911	21127	-	NM_001306279.3		NP_001293208.1	SANT domain-containing protein	rcor-1	171592	CELE_Y74C9A.4	825	825	partial
