# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	1	2100	+					fusA		aq_001	2100		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	1	2100	+	AAC06402.1			elongation factor EF-G	fusA		aq_001	2100	699	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	2117	3334	+					tufA1		aq_005	1218		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	2117	3334	+	AAC06403.1			elongation factor EF-Tu	tufA1		aq_005	1218	405	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	3346	3660	+					rpsJ		aq_008	315		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	3346	3660	+	AAC06399.1			ribosomal protein S10	rpsJ		aq_008	315	104	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	3665	4390	+					rplC		aq_009	726		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	3665	4390	+	AAC06393.1			ribosomal protein L03	rplC		aq_009	726	241	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	4387	4986	+					rplD		aq_011	600		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	4387	4986	+	AAC06394.1			ribosomal protein L04	rplD		aq_011	600	199	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	4990	5301	+					rplW		aq_012	312		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	4990	5301	+	AAC06397.1			ribosomal protein L23	rplW		aq_012	312	103	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	5313	6227	+					rplB		aq_013	915		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	5313	6227	+	AAC06392.1			ribosomal protein L02	rplB		aq_013	915	304	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	6340	6900	+					rpsS		aq_015	561		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	6340	6900	+	AAC06401.1			ribosomal protein S19	rpsS		aq_015	561	186	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	7018	7314	+					rplV		aq_016a	297		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	7018	7314	+	AAC06396.1			ribosomal protein L22	rplV		aq_016a	297	98	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	7317	7955	+					rpsC		aq_017	639		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	7317	7955	+	AAC06398.1			ribosomal protein S03	rpsC		aq_017	639	212	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	8017	8445	+					rplP		aq_018	429		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	8017	8445	+	AAC06395.1			ribosomal protein L16	rplP		aq_018	429	142	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	8678	9001	+					rpsQ		aq_020	324		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	8678	9001	+	AAC06400.1			ribosomal protein S17	rpsQ		aq_020	324	107	
gene	protein_coding	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	9001	9660	+					aroD		aq_021	660		
CDS	with_protein	GCA_000008625.1	Primary Assembly	chromosome		AE000657.1	9001	9660	+	AAC06389.1			3-dehydroquinate dehydratase	aroD		aq_021	660	219	
