# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	410	1750	+					dnaA		BSUW23_00010	1341		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	410	1750	+	ADM36060.1			chromosomal replication initiation protein	dnaA		BSUW23_00010	1341	446	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	1938	3074	+					dnaN		BSUW23_00015	1137		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	1938	3074	+	ADM36061.1			DNA polymerase III subunit beta	dnaN		BSUW23_00015	1137	378	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	3206	3421	+					yaaA		BSUW23_00020	216		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	3206	3421	+	ADM36062.1			putative RNA binding protein	yaaA		BSUW23_00020	216	71	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	3437	4549	+					recF		BSUW23_00025	1113		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	3437	4549	+	ADM36063.1			recombination protein F	recF		BSUW23_00025	1113	370	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	4572	4817	+					yaaB		BSUW23_00030	246		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	4572	4817	+	ADM36064.1			hypothetical protein	yaaB		BSUW23_00030	246	81	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	4872	6788	+					gyrB		BSUW23_00035	1917		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	4872	6788	+	ADM36065.1			DNA gyrase subunit B	gyrB		BSUW23_00035	1917	638	
gene	protein_coding	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	7005	9470	+					gyrA		BSUW23_00040	2466		
CDS	with_protein	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	7005	9470	+	ADM36066.1			DNA gyrase subunit A	gyrA		BSUW23_00040	2466	821	
gene	rRNA	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	9750	11308	+							BSUW23_r20632	1559		
rRNA		GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	9750	11308	+				16S ribosomal RNA			BSUW23_r20632	1559		
gene	tRNA	GCA_000146565.1	Primary Assembly	chromosome		CP002183.1	11403	11479	+							BSUW23_t20462	77		
