# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	151	263	+					cTel7X.2	13224818	CELE_cTel7X.2	113		
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	151	263	-					cTel7X.3	13219044	CELE_cTel7X.3	113		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	151	263	+	NR_070310.1			Unclassified non-coding RNA cTel7X.2	cTel7X.2	13224818	CELE_cTel7X.2	113	113	
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	151	263	-	NR_070311.1			Unclassified non-coding RNA cTel7X.3	cTel7X.3	13219044	CELE_cTel7X.3	113	113	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	261	7587	+					CE7X_3.1	353482	CELE_CE7X_3.1	7327		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	261	7587	+					CE7X_3.1	353482	CELE_CE7X_3.1	1551		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	1316	1935	+					cTel7X.1	183880	CELE_cTel7X.1	620		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	1316	1935	+					cTel7X.1	183880	CELE_cTel7X.1	371		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	7582	9933	-					CE7X_3.2	353483	CELE_CE7X_3.2	2352		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	7582	9933	-					CE7X_3.2	353483	CELE_CE7X_3.2	794		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	13442	15034	+					CE7X_3.4	24104361	CELE_CE7X_3.4	1593		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	13442	15034	+					CE7X_3.4	24104361	CELE_CE7X_3.4	588		pseudo;pseudogene
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	13494	13643	+					CE7X_3.3	13219013	CELE_CE7X_3.3	150		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	13494	13643	+	NR_070312.1			Unclassified non-coding RNA CE7X_3.3	CE7X_3.3	13219013	CELE_CE7X_3.3	150	150	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	16541	34439	-					Y35H6.3	189596	CELE_Y35H6.3	17899		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	16541	34439	-					Y35H6.3	189596	CELE_Y35H6.3	3131		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	34798	41883	+					Y73B3A.21	190639	CELE_Y73B3A.21	7086		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	34798	41883	+					Y73B3A.21	190639	CELE_Y73B3A.21	1570		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	42632	46933	-					Y73B3A.1	180384	CELE_Y73B3A.1	4302		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	42632	46933	-	NM_075680.7		NP_508081.2	Uncharacterized protein	Y73B3A.1	180384	CELE_Y73B3A.1	2239	2239	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	42968	46872	-	NP_508081.2		NM_075680.7	Uncharacterized protein	Y73B3A.1	180384	CELE_Y73B3A.1	1842	613	
gene	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	47179	47506	-					Y73B3A.30	24105216	CELE_Y73B3A.30	328		
ncRNA	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	47179	47506	-	NR_102139.1			small nucleolar RNA Y73B3A.30	Y73B3A.30	24105216	CELE_Y73B3A.30	328	328	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	47766	58675	+					Y73B3A.20	3564958	CELE_Y73B3A.20	10910		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	47766	58675	+	NM_075679.7		NP_508080.2	Uncharacterized protein	Y73B3A.20	3564958	CELE_Y73B3A.20	1199	1199	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	47998	48371	+	NP_508080.2		NM_075679.7	Uncharacterized protein	Y73B3A.20	3564958	CELE_Y73B3A.20	219	72	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	59366	60750	+					Y73B3A.18	190636	CELE_Y73B3A.18	1385		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	59366	60750	+					Y73B3A.18	190636	CELE_Y73B3A.18	798		pseudo;pseudogene
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	59625	59849	+					Y73B3A.23	13219021	CELE_Y73B3A.23	225		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	59625	59849	+	NR_070313.1			Unclassified non-coding RNA Y73B3A.23	Y73B3A.23	13219021	CELE_Y73B3A.23	225	225	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	61165	63375	-					Y73B3A.2	180382	CELE_Y73B3A.2	2211		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	61165	63375	-					Y73B3A.2	180382	CELE_Y73B3A.2	1476		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	66509	73142	-					Y73B3A.17	190635	CELE_Y73B3A.17	6634		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	66509	73142	-					Y73B3A.17	190635	CELE_Y73B3A.17	3948		pseudo;pseudogene
gene	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	71946	72105	-					Y73B3A.31	24105217	CELE_Y73B3A.31	160		
ncRNA	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	71946	72105	-	NR_102140.1			small nucleolar RNA Y73B3A.31	Y73B3A.31	24105217	CELE_Y73B3A.31	160	160	
