# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	406	786	-							AF_0001	381		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	406	786	-	AAB91240.1			predicted coding region AF_0001			AF_0001	381	126	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	3222	3749	-							AF_0002	528		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	3222	3749	-	AAB91239.1			predicted coding region AF_0002			AF_0002	528	175	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	4290	4784	+							AF_0003	495		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	4290	4784	+	AAB91238.1			predicted coding region AF_0003			AF_0003	495	164	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	5051	6811	+							AF_0004	1761		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	5051	6811	+	AAB91222.1			RNase L inhibitor			AF_0004	1761	586	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	6850	7443	+							AF_0005	594		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	6850	7443	+	AAB91226.1			predicted coding region AF_0005			AF_0005	594	197	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	7548	8180	+							AF_0006	633		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	7548	8180	+	AAB91221.1			corrinoid methyltransferase protein (mtaC-1)			AF_0006	633	210	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	8181	9434	+							AF_0007	1254		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	8181	9434	+	AAB91225.1			predicted coding region AF_0007			AF_0007	1254	417	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	9508	10770	+							AF_0008	1263		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	9508	10770	+	AAB91220.1			oxalate/formate antiporter (oxlT-1)			AF_0008	1263	420	
gene	protein_coding	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	10730	11611	+							AF_0009	882		
CDS	with_protein	GCA_000008665.1	Primary Assembly	chromosome		AE000782.1	10730	11611	+	AAB91219.1			N5-methyltetrahydromethanopterin:coenzyme M methyltransferase (mtr) {Methanobacterium thermoautotro			AF_0009	882	293	
