# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	213	938	-							APE_0001	726		old_locus_tag=APE0001
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	213	938	-	BAA78910.1			hypothetical protein			APE_0001	726	241	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	938	1276	-							APE_0002	339		old_locus_tag=APE0002
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	938	1276	-	BAA78911.1			putative transcriptional regulator, PadR family			APE_0002	339	112	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	1260	2174	-							APE_0004	915		old_locus_tag=APE0004
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	1260	2174	-	BAA78913.1			hypothetical protein			APE_0004	915	304	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	2270	2836	+							APE_0006.1	567		old_locus_tag=APE0006
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	2270	2836	+	BAA78915.2			hypothetical protein			APE_0006.1	567	188	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	3905	5440	+							APE_0007.1	1536		old_locus_tag=APE0007
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	3905	5440	+	BAA78916.2			hypothetical protein			APE_0007.1	1536	511	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	5774	6058	-							APE_0009.1	285		old_locus_tag=APE0009
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	5774	6058	-	BAA78918.2			putative mercury ion binding protein			APE_0009.1	285	94	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	6213	7820	-							APE_0010.1	1608		old_locus_tag=APE0010
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	6213	7820	-	BAA78919.2			putative amino acid transporter			APE_0010.1	1608	535	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	8071	8889	+					fba		APE_0011.1	819		old_locus_tag=APE0011
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	8071	8889	+	BAA78920.2			fructose-bisphosphate aldolase class I	fba		APE_0011.1	819	272	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	8908	9840	+							APE_0012	933		old_locus_tag=APE0012
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	8908	9840	+	BAA78921.1			ATP-dependent 6-phosphofructokinase			APE_0012	933	310	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	9991	11652	+					ilvD		APE_0013.1	1662		old_locus_tag=APE0013
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	9991	11652	+	BAA78922.2			dihydroxy-acid dehydratase	ilvD		APE_0013.1	1662	553	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	12387	13907	-							APE_0017.1	1521		old_locus_tag=APE0017
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	12387	13907	-	BAA78926.2			carbohydrate kinase, FGGY family			APE_0017.1	1521	506	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	13925	15319	-							APE_0020.1	1395		old_locus_tag=APE0020
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	13925	15319	-	BAA78929.2			putative pyridoxal-dependent decarboxylase			APE_0020.1	1395	464	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	15391	15909	-							APE_0023.1	519		old_locus_tag=APE0023
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	15391	15909	-	BAA78932.2			conserved hypothetical protein			APE_0023.1	519	172	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	16021	16419	-							APE_0024.1	399		old_locus_tag=APE0024
CDS	with_protein	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	16021	16419	-	BAA78933.2			hypothetical protein			APE_0024.1	399	132	
gene	protein_coding	GCA_000011125.1	Primary Assembly	chromosome		BA000002.3	16416	16823	-							APE_0025.1	408		old_locus_tag=APE0025
