# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	105	677	+							BB_0001	573		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	105	677	+	AAC66406.1			conserved hypothetical protein			BB_0001	573	190	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	768	1796	-							BB_0002	1029		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	768	1796	-	AAC66400.1			glycosyl hydrolase family 3 N domain protein			BB_0002	1029	342	
gene	pseudogene	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	1784	3249	-							BB_0003	1466		pseudo
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	3419	5188	+							BB_0004	1770		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	3419	5188	+	AAC66399.2			phosphoglucomutase			BB_0004	1770	589	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	5251	6306	-					trpS		BB_0005	1056		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	5251	6306	-	AAC66398.2			tryptophanyl-tRNA synthetase	trpS		BB_0005	1056	351	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	6309	7397	-							BB_0006	1089		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	6309	7397	-	AAC66397.2			membrane protein			BB_0006	1089	362	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	7458	8315	-							BB_0007	858		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	7458	8315	-	AAC66404.1			conserved hypothetical protein			BB_0007	858	285	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	8427	9197	+							BB_0008	771		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	8427	9197	+	AAC66396.2			conserved hypothetical protein			BB_0008	771	256	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	9202	10206	+							BB_0009	1005		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	9202	10206	+	AAC66403.1			conserved hypothetical protein			BB_0009	1005	334	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	10203	10577	+							BB_0010	375		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	10203	10577	+	AAC66395.1			holo-[acyl-carrier-protein] synthase (Holo-ACP synthase)(4'-phosphopantetheinyl transferase AcpS)			BB_0010	375	124	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	10581	11420	+							BB_0011	840		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	10581	11420	+	AAC66402.1			conserved hypothetical protein			BB_0011	840	279	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	11421	12161	+					truA		BB_0012	741		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	11421	12161	+	AAC66394.1			tRNA pseudouridine synthase A	truA		BB_0012	741	246	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	12154	12753	+							BB_0013	600		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	12154	12753	+	AAC66401.1			conserved hypothetical protein			BB_0013	600	199	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	12746	14728	+					priA		BB_0014	1983		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	12746	14728	+	AAC66393.1			primosomal protein N'	priA		BB_0014	1983	660	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	14725	15345	-					udk		BB_0015	621		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	14725	15345	-	AAC66392.2			uridine kinase	udk		BB_0015	621	206	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	15345	15716	-							BB_0016	372		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	15345	15716	-	AAC66391.2			GlpE protein			BB_0016	372	123	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	15995	16804	+							BB_0017	810		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	15995	16804	+	AAC66414.2			conserved hypothetical integral membrane protein			BB_0017	810	269	
gene	pseudogene	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	16807	17787	-							BB_0018	981		pseudo
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	17792	18304	-							BB_0019	513		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	17792	18304	-	AAC66416.1			conserved hypothetical protein			BB_0019	513	170	
gene	pseudogene	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	18312	19979	-							BB_0020	1668		pseudo
gene	pseudogene	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	20051	21083	-					queA		BB_0021	1033		pseudo
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	21058	22101	-					ruvB		BB_0022	1044		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	21058	22101	-	AAC66410.1			holliday junction DNA helicase RuvB	ruvB		BB_0022	1044	347	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	22146	22739	-					ruvA		BB_0023	594		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	22146	22739	-	AAC66409.1			holliday junction DNA helicase RuvA	ruvA		BB_0023	594	197	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	22819	23958	+							BB_0024	1140		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	22819	23958	+	AAC66415.1			conserved hypothetical protein			BB_0024	1140	379	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	23965	24696	-							BB_0025	732		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	23965	24696	-	AAC66408.1			DNA-binding regulatory protein, YebC/PmpR family			BB_0025	732	243	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	24697	25623	-							BB_0026	927		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	24697	25623	-	AAC66407.1			methylenetetrahydrofolate dehydrogenase			BB_0026	927	308	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	25753	26391	+							BB_0027	639		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	25753	26391	+	AAC66429.1			conserved hypothetical protein			BB_0027	639	212	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	26399	27448	+							BB_0028	1050		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	26399	27448	+	AAC66428.1			lipoprotein, putative			BB_0028	1050	349	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	27434	27865	-							BB_0029	432		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	27434	27865	-	AAC66423.1			YaiI/YqxD family protein			BB_0029	432	143	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	27855	28490	-					lepB		BB_0030	636		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	27855	28490	-	AAC66422.1			signal peptidase I	lepB		BB_0030	636	211	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	28492	29472	-					lepB		BB_0031	981		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	28492	29472	-	AAC66421.1			signal peptidase I	lepB		BB_0031	981	326	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	29543	31015	+							BB_0032	1473		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	29543	31015	+	AAC66427.1			conserved hypothetical protein			BB_0032	1473	490	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	31027	31479	+					smpB		BB_0033	453		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	31027	31479	+	AAC66420.1			SsrA-binding protein	smpB		BB_0033	453	150	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	31550	32089	-							BB_0034	540		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	31550	32089	-	AAC66426.1			outer membrane protein P13			BB_0034	540	179	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	32157	34037	-							BB_0035	1881		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	32157	34037	-	AAC66419.1			DNA gyrase/topoisomerase IV, A subunit domain protein			BB_0035	1881	626	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	34037	35836	-							BB_0036	1800		
CDS	with_protein	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	34037	35836	-	AAC66418.1			DNA topoisomerase II (N- region) domain protein			BB_0036	1800	599	
gene	protein_coding	GCA_000008685.2	Primary Assembly	chromosome		AE000783.1	35857	36609	-							BB_0037	753		
