# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	35	1357	+					dnaA		THEMA_00005	1323		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	35	1357	+	AHD17321.1			ATPase AAA	dnaA		THEMA_00005	1323	440	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	1334	2275	-							THEMA_00010	942		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	1334	2275	-	AHD17322.1			tRNA (guanine-N(7)-)-methyltransferase			THEMA_00010	942	313	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	2266	3126	-							THEMA_00015	861		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	2266	3126	-	AHD17323.1			radical SAM protein			THEMA_00015	861	286	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	3123	4256	-							THEMA_00020	1134		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	3123	4256	-	AHD17324.1			hypothetical protein			THEMA_00020	1134	377	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	4253	5749	-							THEMA_00025	1497		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	4253	5749	-	AHD17325.1			NAD(P)H-hydrate epimerase			THEMA_00025	1497	498	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	5754	6218	-							THEMA_00030	465		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	5754	6218	-	AHD17326.1			lytic transglycosylase			THEMA_00030	465	154	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	6215	7294	-							THEMA_00035	1080		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	6215	7294	-	AHD17327.1			alcohol dehydrogenase			THEMA_00035	1080	359	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	7305	7721	-							THEMA_00040	417		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	7305	7721	-	AHD17328.1			osmotically inducible protein C			THEMA_00040	417	138	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	7731	9716	-							THEMA_00045	1986		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	7731	9716	-	AHD17329.1			chemotaxis protein			THEMA_00045	1986	661	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	9751	10680	-							THEMA_00050	930		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	9751	10680	-	AHD17330.1			phosphate permease			THEMA_00050	930	309	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	11021	11875	+							THEMA_00055	855		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	11021	11875	+	AHD17331.1			hypothetical protein			THEMA_00055	855	284	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	11862	12578	+							THEMA_00060	717		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	11862	12578	+	AHD17332.1			ribonuclease HII			THEMA_00060	717	238	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	12529	13170	+							THEMA_00065	642		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	12529	13170	+	AHD17333.1			hypothetical protein			THEMA_00065	642	213	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	13172	13939	+					mazG		THEMA_00070	768		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	13172	13939	+	AHD17334.1			nucleoside triphosphate pyrophosphohydrolase	mazG		THEMA_00070	768	255	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	13936	14925	+							THEMA_00075	990		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	13936	14925	+	AHD17335.1			membrane protein			THEMA_00075	990	329	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	14922	15953	+					mtnA		THEMA_00080	1032		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	14922	15953	+	AHD17336.1			methylthioribose-1-phosphate isomerase	mtnA		THEMA_00080	1032	343	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	15956	16726	+							THEMA_00085	771		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	15956	16726	+	AHD17337.1			flagellar biosynthesis protein FliR			THEMA_00085	771	256	
