# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	1219	3097	-					fbxa-6	183881	CELE_cTel54X.1	1879		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	1219	3097	-	NM_064723.2		NP_497124.1	F-box domain-containing protein	fbxa-6	183881	CELE_cTel54X.1	1264	1264	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	1271	2917	-	NP_497124.1		NM_064723.2	F-box domain-containing protein	fbxa-6	183881	CELE_cTel54X.1	1032	343	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	3277	11955	+					cTel54X.2	54162626	CELE_cTel54X.2	8679		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	3277	11955	+	NM_001384000.1		NP_001369957.1	Uncharacterized protein	cTel54X.2	54162626	CELE_cTel54X.2	2246	2246	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	3299	3534	+	NP_001369957.1		NM_001384000.1	Uncharacterized protein	cTel54X.2	54162626	CELE_cTel54X.2	189	62	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	3321	11955	+					npr-30	186719	CELE_H10E21.2	8635		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	3321	11955	+	NM_001381678.2		NP_001367700.1	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-30	186719	CELE_H10E21.2	1725	1725	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	4251	11881	+	NP_001367700.1		NM_001381678.2	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-30	186719	CELE_H10E21.2	1191	396	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	11985	14869	-					nhr-80	175167	CELE_H10E21.3	2885		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	11985	14869	-	NM_064725.7		NP_497126.1	Nuclear Hormone Receptor family	nhr-80	175167	CELE_H10E21.3	1781	1781	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	12131	14753	-	NM_181901.2		NP_871630.1	Nuclear Hormone Receptor family	nhr-80	175167	CELE_H10E21.3	1573	1573	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	12189	14753	-	NP_497126.1		NM_064725.7	Nuclear Hormone Receptor family	nhr-80	175167	CELE_H10E21.3	1461	486	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	12189	14753	-	NP_871630.1		NM_181901.2	Nuclear Hormone Receptor family	nhr-80	175167	CELE_H10E21.3	1515	504	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	15720	17339	+					H10E21.1	186718	CELE_H10E21.1	1620		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	15720	17279	+	NM_001267896.3		NP_001254825.1	Uncharacterized protein	H10E21.1	186718	CELE_H10E21.1	732	732	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	15720	17279	+	NP_001254825.1		NM_001267896.3	Uncharacterized protein	H10E21.1	186718	CELE_H10E21.1	732	243	
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	15772	17339	+	NM_001381679.1		NP_001367699.1	Uncharacterized protein	H10E21.1	186718	CELE_H10E21.1	740	740	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	16807	17279	+	NP_001367699.1		NM_001381679.1	Uncharacterized protein	H10E21.1	186718	CELE_H10E21.1	264	87	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	17316	19675	-					H10E21.4	175168	CELE_H10E21.4	2360		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	17316	19675	-	NM_064727.6		NP_497128.1	Uncharacterized protein	H10E21.4	175168	CELE_H10E21.4	928	928	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	III	NC_003281.10	17421	19563	-	NP_497128.1		NM_064727.6	Uncharacterized protein	H10E21.4	175168	CELE_H10E21.4	711	236	
